Freq.	V(vout)
1.44543977074592e+002	(4.72510398007877e+000dB,-1.77671864318616e+002°)
1.47910838816820e+002	(4.70191297372936e+000dB,-1.77773484447461e+002°)
1.51356124843620e+002	(4.67835391503586e+000dB,-1.77861920050460e+002°)
1.54881661891247e+002	(4.65452956008224e+000dB,-1.77937085214826e+002°)
1.58489319246110e+002	(4.63054393964379e+000dB,-1.77998930496526e+002°)
1.62181009735892e+002	(4.60650204204045e+000dB,-1.78047443932264e+002°)
1.65958690743755e+002	(4.58250947677107e+000dB,-1.78082651924751e+002°)
1.69824365246173e+002	(4.55867212072309e+000dB,-1.78104619987958e+002°)
1.73780082874936e+002	(4.53509574809551e+000dB,-1.78113453336691e+002°)
1.77827941003891e+002	(4.51188564564095e+000dB,-1.78109297306068e+002°)
1.81970085860997e+002	(4.48914621541230e+000dB,-1.78092337588585e+002°)
1.86208713666286e+002	(4.46698056712453e+000dB,-1.78062800276097e+002°)
1.90546071796323e+002	(4.44549010262929e+000dB,-1.78020951694710e+002°)
1.94984459975803e+002	(4.42477409514109e+000dB,-1.77967098025478e+002°)
1.99526231496887e+002	(4.40492926639176e+000dB,-1.77901584699912e+002°)
2.04173794466952e+002	(4.38604936455090e+000dB,-1.77824795566894e+002°)
2.08929613085403e+002	(4.36822474657212e+000dB,-1.77737151826155e+002°)
2.13796208950222e+002	(4.35154196797364e+000dB,-1.77639110726793e+002°)
2.18776162394954e+002	(4.33608338393491e+000dB,-1.77531164032161e+002°)
2.23872113856832e+002	(4.32192676510525e+000dB,-1.77413836254287e+002°)
2.29086765276776e+002	(4.30914493174820e+000dB,-1.77287682664444e+002°)
2.34422881531991e+002	(4.29780540959418e+000dB,-1.77153287088225e+002°)
2.39883291901947e+002	(4.28797011105441e+000dB,-1.77011259497108e+002°)
2.45470891568501e+002	(4.27969504482282e+000dB,-1.76862233411117e+002°)
2.51188643150956e+002	(4.27303005703374e+000dB,-1.76706863128056e+002°)
2.57039578276885e+002	(4.26801860663494e+000dB,-1.76545820800149e+002°)
2.63026799189536e+002	(4.26469757761029e+000dB,-1.76379793378282e+002°)
2.69153480392690e+002	(4.26309712995441e+000dB,-1.76209479447748e+002°)
2.75422870333815e+002	(4.26324059135456e+000dB,-1.76035585980375e+002°)
2.81838293126443e+002	(4.26514439056250e+000dB,-1.75858825029209e+002°)
2.88403150312659e+002	(4.26881803366400e+000dB,-1.75679910393035e+002°)
2.95120922666637e+002	(4.27426412329267e+000dB,-1.75499554278836e+002°)
3.01995172040200e+002	(4.28147842081997e+000dB,-1.75318463989773e+002°)
3.09029543251357e+002	(4.29044995098545e+000dB,-1.75137338667056e+002°)
3.16227766016836e+002	(4.30116114768887e+000dB,-1.74956866111861e+002°)
3.23593656929626e+002	(4.31358803977317e+000dB,-1.74777719714641e+002°)
3.31131121482589e+002	(4.32770047443462e+000dB,-1.74600555515414e+002°)
3.38844156139200e+002	(4.34346237634043e+000dB,-1.74426009418815e+002°)
3.46736850452529e+002	(4.36083203948138e+000dB,-1.74254694584428e+002°)
3.54813389233573e+002	(4.37976244882279e+000dB,-1.74087199011167e+002°)
3.63078054770099e+002	(4.40020162858345e+000dB,-1.73924083332270e+002°)
3.71535229097170e+002	(4.42209301360188e+000dB,-1.73765878833492e+002°)
3.80189396320558e+002	(4.44537584006513e+000dB,-1.73613085706975e+002°)
3.89045144994278e+002	(4.46998555216998e+000dB,-1.73466171546690e+002°)
3.98107170553494e+002	(4.49585422057018e+000dB,-1.73325570092778e+002°)
4.07380277804110e+002	(4.52291096918119e+000dB,-1.73191680225667e+002°)
4.16869383470332e+002	(4.55108240633626e+000dB,-1.73064865210543e+002°)
4.26579518801589e+002	(4.58029305694455e+000dB,-1.72945452189399e+002°)
4.36515832240163e+002	(4.61046579196277e+000dB,-1.72833731914942e+002°)
4.46683592150960e+002	(4.64152225200186e+000dB,-1.72729958720039e+002°)
4.57088189614872e+002	(4.67338326194109e+000dB,-1.72634350712166e+002°)
4.67735141287195e+002	(4.70596923368123e+000dB,-1.72547090182525e+002°)
