Freq.	V(vout)
1.79473362683250e+000	(4.28153112538800e+001dB,1.79997825272134e+002°)
1.79887091512876e+000	(4.28153112538531e+001dB,1.79997820258869e+002°)
1.80301774085955e+000	(4.28153112538261e+001dB,1.79997815234046e+002°)
1.80717412601090e+000	(4.28153112537989e+001dB,1.79997810197641e+002°)
1.81134009261958e+000	(4.28153112537716e+001dB,1.79997805149625e+002°)
1.81551566277311e+000	(4.28153112537442e+001dB,1.79997800089972e+002°)
1.81970085860996e+000	(4.28153112537168e+001dB,1.79997795018656e+002°)
1.82389570231961e+000	(4.28153112536890e+001dB,1.79997789935649e+002°)
1.82810021614272e+000	(4.28153112536614e+001dB,1.79997784840924e+002°)
1.83231442237119e+000	(4.28153112536335e+001dB,1.79997779734455e+002°)
1.83653834334832e+000	(4.28153112536055e+001dB,1.79997774616215e+002°)
1.84077200146893e+000	(4.28153112535773e+001dB,1.79997769486175e+002°)
1.84501541917945e+000	(4.28153112535490e+001dB,1.79997764344310e+002°)
1.84926861897805e+000	(4.28153112535206e+001dB,1.79997759190591e+002°)
1.85353162341479e+000	(4.28153112534920e+001dB,1.79997754024992e+002°)
1.85780445509167e+000	(4.28153112534634e+001dB,1.79997748847485e+002°)
1.86208713666284e+000	(4.28153112534345e+001dB,1.79997743658043e+002°)
1.86637969083464e+000	(4.28153112534056e+001dB,1.79997738456637e+002°)
1.87068214036577e+000	(4.28153112533765e+001dB,1.79997733243241e+002°)
1.87499450806739e+000	(4.28153112533473e+001dB,1.79997728017827e+002°)
1.87931681680324e+000	(4.28153112533179e+001dB,1.79997722780367e+002°)
1.88364908948977e+000	(4.28153112532885e+001dB,1.79997717530834e+002°)
1.88799134909627e+000	(4.28153112532589e+001dB,1.79997712269199e+002°)
1.89234361864495e+000	(4.28153112532291e+001dB,1.79997706995435e+002°)
1.89670592121112e+000	(4.28153112531992e+001dB,1.79997701709514e+002°)
1.90107827992327e+000	(4.28153112531691e+001dB,1.79997696411407e+002°)
1.90546071796322e+000	(4.28153112531390e+001dB,1.79997691101087e+002°)
1.90985325856621e+000	(4.28153112531086e+001dB,1.79997685778525e+002°)
1.91425592502106e+000	(4.28153112530782e+001dB,1.79997680443694e+002°)
1.91866874067026e+000	(4.28153112530477e+001dB,1.79997675096564e+002°)
1.92309172891013e+000	(4.28153112530169e+001dB,1.79997669737108e+002°)
1.92752491319091e+000	(4.28153112529861e+001dB,1.79997664365297e+002°)
1.93196831701690e+000	(4.28153112529551e+001dB,1.79997658981103e+002°)
1.93642196394658e+000	(4.28153112529239e+001dB,1.79997653584498e+002°)
1.94088587759275e+000	(4.28153112528927e+001dB,1.79997648175451e+002°)
1.94536008162263e+000	(4.28153112528611e+001dB,1.79997642753936e+002°)
1.94984459975802e+000	(4.28153112528296e+001dB,1.79997637319922e+002°)
1.95433945577537e+000	(4.28153112527979e+001dB,1.79997631873382e+002°)
1.95884467350596e+000	(4.28153112527660e+001dB,1.79997626414287e+002°)
1.96336027683602e+000	(4.28153112527339e+001dB,1.79997620942606e+002°)
1.96788628970682e+000	(4.28153112527017e+001dB,1.79997615458313e+002°)
1.97242273611482e+000	(4.28153112526695e+001dB,1.79997609961376e+002°)
1.97696964011183e+000	(4.28153112526369e+001dB,1.79997604451768e+002°)
1.98152702580507e+000	(4.28153112526043e+001dB,1.79997598929459e+002°)
1.98609491735734e+000	(4.28153112525715e+001dB,1.79997593394420e+002°)
1.99067333898716e+000	(4.28153112525387e+001dB,1.79997587846621e+002°)
1.99526231496885e+000	(4.28153112525055e+001dB,1.79997582286033e+002°)
1.99986186963271e+000	(4.28153112524723e+001dB,1.79997576712627e+002°)
2.00447202736513e+000	(4.28153112524389e+001dB,1.79997571126373e+002°)
2.00909281260870e+000	(4.28153112524054e+001dB,1.79997565527241e+002°)
2.01372424986236e+000	(4.28153112523717e+001dB,1.79997559915202e+002°)
2.01836636368153e+000	(4.28153112523378e+001dB,1.79997554290225e+002°)
