time	V(n006)
6.380188720011396e-005	7.684811e-001
6.390188720011396e-005	5.957721e-001
6.400188720011397e-005	4.282340e-001
6.410188720011397e-005	2.657121e-001
6.420188720011397e-005	1.080560e-001
6.430188720011397e-005	-4.487979e-002
6.440188720011398e-005	-1.932367e-001
6.450188720011398e-005	-3.371517e-001
6.460188720011398e-005	-4.767580e-001
6.470188720011398e-005	-6.121844e-001
6.480188720011399e-005	-7.435561e-001
6.500188720011399e-005	-9.946175e-001
6.520188720011400e-005	-1.230870e+000
6.550188720011400e-005	-1.559380e+000
6.580188720011401e-005	-1.859257e+000
6.610188720011402e-005	-2.132998e+000
6.640188720011402e-005	-2.378736e+000
6.670188720011403e-005	-2.606979e+000
6.700188720011404e-005	-2.817725e+000
6.730188720011405e-005	-3.010975e+000
6.760188720011405e-005	-3.186730e+000
6.790188720011406e-005	-3.344988e+000
6.820188720011407e-005	-3.485751e+000
6.850188720011408e-005	-3.615541e+000
6.880188720011408e-005	-3.736091e+000
6.910188720011409e-005	-3.847399e+000
6.940188720011410e-005	-3.949467e+000
6.970188720011410e-005	-4.042295e+000
7.000188720011411e-005	-4.125881e+000
7.030188720011412e-005	-4.200227e+000
7.060188720011413e-005	-4.268777e+000
7.090188720011413e-005	-4.332447e+000
7.120188720011414e-005	-4.391237e+000
7.150188720011415e-005	-4.445146e+000
7.180188720011416e-005	-4.494174e+000
7.210188720011416e-005	-4.538321e+000
7.240188720011417e-005	-4.577588e+000
7.270188720011418e-005	-4.613794e+000
7.300188720011418e-005	-4.647422e+000
7.330188720011419e-005	-4.678473e+000
7.360188720011420e-005	-4.706945e+000
7.390188720011421e-005	-4.732840e+000
7.420188720011421e-005	-4.756158e+000
7.450188720011422e-005	-4.776897e+000
7.480188720011423e-005	-4.796020e+000
7.510188720011424e-005	-4.813781e+000
7.540188720011424e-005	-4.830181e+000
7.570188720011425e-005	-4.845219e+000
7.600188720011426e-005	-4.858896e+000
7.630188720011426e-005	-4.871211e+000
7.660188720011427e-005	-4.882165e+000
7.690188720011428e-005	-4.892435e+000
7.720188720011429e-005	-4.901655e+000
7.750188720011429e-005	-4.910218e+000
7.780188720011430e-005	-4.918125e+000
7.810188720011431e-005	-4.925375e+000
7.840188720011432e-005	-4.931969e+000
7.870188720011432e-005	-4.937907e+000
7.900188720011433e-005	-4.943188e+000
7.930188720011434e-005	-4.948057e+000
7.960188720011435e-005	-4.952580e+000
7.990188720011435e-005	-4.956756e+000
