Freq.	V(outint)
1.77827941003891e+004	(-2.16333292816812e+001dB,-8.96050102441352e+001°)
1.81970085860997e+004	(-2.18333129233506e+001dB,-8.96176744177228e+001°)
1.86208713666285e+004	(-2.20332970304986e+001dB,-8.96301359184740e+001°)
1.90546071796323e+004	(-2.22332815694197e+001dB,-8.96424013506425e+001°)
1.94984459975803e+004	(-2.24332665073237e+001dB,-8.96544772147068e+001°)
1.99526231496886e+004	(-2.26332518122664e+001dB,-8.96663699108027e+001°)
2.04173794466951e+004	(-2.28332374530817e+001dB,-8.96780857421045e+001°)
2.08929613085402e+004	(-2.30332233993157e+001dB,-8.96896309181550e+001°)
2.13796208950221e+004	(-2.32332096211619e+001dB,-8.97010115581466e+001°)
2.18776162394953e+004	(-2.34331960893983e+001dB,-8.97122336941556e+001°)
2.23872113856832e+004	(-2.36331827753252e+001dB,-8.97233032743301e+001°)
2.29086765276775e+004	(-2.38331696507042e+001dB,-8.97342261660346e+001°)
2.34422881531990e+004	(-2.40331566876990e+001dB,-8.97450081589516e+001°)
2.39883291901947e+004	(-2.42331438588156e+001dB,-8.97556549681437e+001°)
2.45470891568501e+004	(-2.44331311368446e+001dB,-8.97661722370748e+001°)
2.51188643150956e+004	(-2.46331184948028e+001dB,-8.97765655405953e+001°)
2.57039578276884e+004	(-2.48331059058769e+001dB,-8.97868403878901e+001°)
2.63026799189536e+004	(-2.50330933433660e+001dB,-8.97970022253929e+001°)
2.69153480392689e+004	(-2.52330807806250e+001dB,-8.98070564396673e+001°)
2.75422870333814e+004	(-2.54330681910085e+001dB,-8.98170083602557e+001°)
2.81838293126443e+004	(-2.56330555478137e+001dB,-8.98268632624991e+001°)
2.88403150312658e+004	(-2.58330428242245e+001dB,-8.98366263703280e+001°)
2.95120922666636e+004	(-2.60330299932540e+001dB,-8.98463028590260e+001°)
3.01995172040199e+004	(-2.62330170276875e+001dB,-8.98558978579678e+001°)
3.09029543251356e+004	(-2.64330039000249e+001dB,-8.98654164533332e+001°)
3.16227766016835e+004	(-2.66329905824223e+001dB,-8.98748636907980e+001°)
3.23593656929625e+004	(-2.68329770466328e+001dB,-8.98842445782034e+001°)
3.31131121482588e+004	(-2.70329632639470e+001dB,-8.98935640882055e+001°)
3.38844156139199e+004	(-2.72329492051315e+001dB,-8.99028271609060e+001°)
