Freq.	V(outint)
1.65958690743755e+003	(-1.24867969231111e+000dB,-7.44315498951479e+001°)
1.69824365246173e+003	(-1.43431248592835e+000dB,-7.47756982022879e+001°)
1.73780082874936e+003	(-1.62054750559085e+000dB,-7.51132531060799e+001°)
1.77827941003891e+003	(-1.80736131077854e+000dB,-7.54443027548673e+001°)
1.81970085860997e+003	(-1.99473122521848e+000dB,-7.57689371134129e+001°)
1.86208713666286e+003	(-2.18263532641876e+000dB,-7.60872477412339e+001°)
1.90546071796323e+003	(-2.37105242735240e+000dB,-7.63993275787264e+001°)
1.94984459975803e+003	(-2.55996206793874e+000dB,-7.67052707395007e+001°)
1.99526231496887e+003	(-2.74934449663816e+000dB,-7.70051723227986e+001°)
2.04173794466952e+003	(-2.93918065484526e+000dB,-7.72991282360732e+001°)
2.08929613085403e+003	(-3.12945216380983e+000dB,-7.75872350157513e+001°)
2.13796208950222e+003	(-3.32014130426728e+000dB,-7.78695896779753e+001°)
2.18776162394954e+003	(-3.51123100324112e+000dB,-7.81462895649006e+001°)
2.23872113856832e+003	(-3.70270481344627e+000dB,-7.84174322105028e+001°)
2.29086765276776e+003	(-3.89454690067323e+000dB,-7.86831152004237e+001°)
2.34422881531991e+003	(-4.08674202307452e+000dB,-7.89434360628646e+001°)
2.39883291901947e+003	(-4.27927551598395e+000dB,-7.91984921527326e+001°)
2.45470891568501e+003	(-4.47213327457763e+000dB,-7.94483805440681e+001°)
2.51188643150956e+003	(-4.66530173499300e+000dB,-7.96931979364145e+001°)
2.57039578276885e+003	(-4.85876786092548e+000dB,-7.99330405727134e+001°)
2.63026799189536e+003	(-5.05251912326030e+000dB,-8.01680041508674e+001°)
2.69153480392690e+003	(-5.24654348621646e+000dB,-8.03981837518144e+001°)
2.75422870333815e+003	(-5.44082939114510e+000dB,-8.06236737706110e+001°)
2.81838293126443e+003	(-5.63536573682417e+000dB,-8.08445678623872e+001°)
2.88403150312659e+003	(-5.83014187131111e+000dB,-8.10609588734189e+001°)
2.95120922666636e+003	(-6.02514756668691e+000dB,-8.12729388034361e+001°)
3.01995172040199e+003	(-6.22037301206774e+000dB,-8.14805987545958e+001°)
3.09029543251357e+003	(-6.41580879567121e+000dB,-8.16840288929066e+001°)
3.16227766016836e+003	(-6.61144589187749e+000dB,-8.18833184090113e+001°)
3.23593656929626e+003	(-6.80727564284295e+000dB,-8.20785554942972e+001°)
3.31131121482589e+003	(-7.00328975153043e+000dB,-8.22698273079465e+001°)
3.38844156139200e+003	(-7.19948026321794e+000dB,-8.24572199551157e+001°)
3.46736850452529e+003	(-7.39583955430610e+000dB,-8.26408184676630e+001°)
3.54813389233573e+003	(-7.59236032145266e+000dB,-8.28207067865795e+001°)
3.63078054770099e+003	(-7.78903556672102e+000dB,-8.29969677519217e+001°)
3.71535229097170e+003	(-7.98585858675419e+000dB,-8.31696830855174e+001°)
3.80189396320558e+003	(-8.18282296212888e+000dB,-8.33389333919107e+001°)
3.89045144994278e+003	(-8.37992254493884e+000dB,-8.35047981458692e+001°)
3.98107170553494e+003	(-8.57715145115222e+000dB,-8.36673556928443e+001°)
4.07380277804110e+003	(-8.77450404494027e+000dB,-8.38266832473053e+001°)
4.16869383470332e+003	(-8.97197493370024e+000dB,-8.39828568957482e+001°)
4.26579518801589e+003	(-9.16955895550820e+000dB,-8.41359515987980e+001°)
4.36515832240162e+003	(-9.36725117164035e+000dB,-8.42860411926093e+001°)
4.46683592150960e+003	(-9.56504685666015e+000dB,-8.44331983991764e+001°)
4.57088189614871e+003	(-9.76294148981989e+000dB,-8.45774948352843e+001°)
4.67735141287194e+003	(-9.96093074600514e+000dB,-8.47190010163089e+001°)
4.78630092322634e+003	(-1.01590104899012e+001dB,-8.48577863723011e+001°)
4.89778819368442e+003	(-1.03571767662864e+001dB,-8.49939192567189e+001°)
5.01187233627268e+003	(-1.05554257929921e+001dB,-8.51274669576206e+001°)
5.12861383991361e+003	(-1.07537539530565e+001dB,-8.52584957161317e+001°)
5.24807460249768e+003	(-1.09521577913999e+001dB,-8.53870707323513e+001°)
5.37031796370248e+003	(-1.11506340040824e+001dB,-8.55132561895174e+001°)
5.49540873857620e+003	(-1.13491794344585e+001dB,-8.56371152641967e+001°)
5.62341325190344e+003	(-1.15477910637255e+001dB,-8.57587101460639e+001°)
5.75439937337152e+003	(-1.17464660097226e+001dB,-8.58781020522357e+001°)
5.88843655355584e+003	(-1.19452015202647e+001dB,-8.59953512430171e+001°)
6.02559586074353e+003	(-1.21439949630154e+001dB,-8.61105170465527e+001°)
6.16595001861477e+003	(-1.23428438268428e+001dB,-8.62236578714305e+001°)
6.30957344480188e+003	(-1.25417457137902e+001dB,-8.63348312259770e+001°)
6.45654229034650e+003	(-1.27406983334333e+001dB,-8.64440937404331e+001°)
6.60693448007590e+003	(-1.29396994997961e+001dB,-8.65515011834914e+001°)
6.76082975391976e+003	(-1.31387471278777e+001dB,-8.66571084821217e+001°)
6.91830970918931e+003	(-1.33378392275720e+001dB,-8.67609697419911e+001°)
7.07945784384132e+003	(-1.35369738998692e+001dB,-8.68631382673913e+001°)
7.24435960074984e+003	(-1.37361493347277e+001dB,-8.69636665806424e+001°)
7.41310241300911e+003	(-1.39353638053070e+001dB,-8.70626064433577e+001°)
7.58577575029177e+003	(-1.41346156667895e+001dB,-8.71600088747433e+001°)
7.76247116628685e+003	(-1.43339033507917e+001dB,-8.72559241744756e+001°)
7.94328234724275e+003	(-1.45332253643144e+001dB,-8.73504019408072e+001°)
8.12830516164092e+003	(-1.47325802847792e+001dB,-8.74434910923344e+001°)
8.31763771102664e+003	(-1.49319667576613e+001dB,-8.75352398886103e+001°)
8.51138038202369e+003	(-1.51313834951558e+001dB,-8.76256959486110e+001°)
8.70963589956073e+003	(-1.53308292716378e+001dB,-8.77149062742556e+001°)
8.91250938133738e+003	(-1.55303029233614e+001dB,-8.78029172675588e+001°)
9.12010839355902e+003	(-1.57298033436854e+001dB,-8.78897747532925e+001°)
9.33254300796983e+003	(-1.59293294806469e+001dB,-8.79755239990254e+001°)
9.54992586021428e+003	(-1.61288803392494e+001dB,-8.80602097342478e+001°)
9.77237220955802e+003	(-1.63284549728402e+001dB,-8.81438761720397e+001°)
9.99999999999991e+003	(-1.65280524865738e+001dB,-8.82265670287857e+001°)
1.02329299228075e+004	(-1.67276720339161e+001dB,-8.83083255429919e+001°)
1.04712854805089e+004	(-1.69273128117591e+001dB,-8.83891944977209e+001°)
1.07151930523760e+004	(-1.71269740648631e+001dB,-8.84692162388938e+001°)
1.09647819614318e+004	(-1.73266550778989e+001dB,-8.85484326961510e+001°)
1.12201845430195e+004	(-1.75263551800959e+001dB,-8.86268854015230e+001°)
1.14815362149687e+004	(-1.77260737382732e+001dB,-8.87046155108043e+001°)
1.17489755493952e+004	(-1.79258101594344e+001dB,-8.87816638223766e+001°)
1.20226443461740e+004	(-1.81255638868467e+001dB,-8.88580707962815e+001°)
1.23026877081237e+004	(-1.83253344026068e+001dB,-8.89338765756140e+001°)
1.25892541179416e+004	(-1.85251212213283e+001dB,-8.90091210041696e+001°)
1.28824955169312e+004	(-1.87249238934141e+001dB,-8.90838436474055e+001°)
1.31825673855640e+004	(-1.89247420025771e+001dB,-8.91580838105531e+001°)
1.34896288259164e+004	(-1.91245751650953e+001dB,-8.92318805588762e+001°)
1.38038426460287e+004	(-1.93244230288047e+001dB,-8.93052727368260e+001°)
1.41253754462274e+004	(-1.95242852718309e+001dB,-8.93782989871565e+001°)
1.44543977074591e+004	(-1.97241616039579e+001dB,-8.94509977697355e+001°)
1.47910838816819e+004	(-1.99240517639234e+001dB,-8.95234073815713e+001°)
1.51356124843619e+004	(-2.01239555199701e+001dB,-8.95955659751140e+001°)
1.54881661891247e+004	(-2.03238726680301e+001dB,-8.96675115780409e+001°)
1.58489319246110e+004	(-2.05238030343613e+001dB,-8.97392821116668e+001°)
1.62181009735891e+004	(-2.07237464710731e+001dB,-8.98109154103568e+001°)
1.65958690743755e+004	(-2.09237028584381e+001dB,-8.98824492407095e+001°)
1.69824365246173e+004	(-2.11236721056571e+001dB,-8.99539213199558e+001°)
1.73780082874936e+004	(-2.13236541459593e+001dB,-9.00253693355752e+001°)
1.77827941003891e+004	(-2.15236489427652e+001dB,-9.00968309639592e+001°)
1.81970085860997e+004	(-2.17236564847645e+001dB,-9.01683438894977e+001°)
1.86208713666285e+004	(-2.19236767869132e+001dB,-9.02399458235511e+001°)
1.90546071796323e+004	(-2.21237098935497e+001dB,-9.03116745235534e+001°)
1.94984459975803e+004	(-2.23237558744977e+001dB,-9.03835678118866e+001°)
1.99526231496886e+004	(-2.25238148249894e+001dB,-9.04556635950368e+001°)
2.04173794466951e+004	(-2.27238868713725e+001dB,-9.05279998827403e+001°)
2.08929613085402e+004	(-2.29239721654556e+001dB,-9.06006148071241e+001°)
2.13796208950221e+004	(-2.31240708870213e+001dB,-9.06735466415564e+001°)
