Freq.	V(outint)/V(Vin)
5.75439937337154e+002	(1.06791567835963e+000dB,9.64906232873690e+001°)
5.88843655355586e+002	(8.70416066069711e-001dB,9.63439796983472e+001°)
6.02559586074355e+002	(6.72805262963368e-001dB,9.62005907017282e+001°)
6.16595001861479e+002	(4.75088156522171e-001dB,9.60603874498497e+001°)
6.30957344480190e+002	(2.77269424374644e-001dB,9.59233023158287e+001°)
6.45654229034652e+002	(7.93535428729353e-002dB,9.57892688878086e+001°)
6.60693448007592e+002	(-1.18655204643022e-001dB,9.56582219619620e+001°)
6.76082975391978e+002	(-3.16752719885676e-001dB,9.55300975343626e+001°)
6.91830970918933e+002	(-5.14935081956454e-001dB,9.54048327918253e+001°)
7.07945784384134e+002	(-7.13198539970553e-001dB,9.52823661018129e+001°)
7.24435960074986e+002	(-9.11539505961790e-001dB,9.51626370014975e+001°)
7.41310241300914e+002	(-1.10995454805910e+000dB,9.50455861860618e+001°)
7.58577575029180e+002	(-1.30844038392666e+000dB,9.49311554963183e+001°)
7.76247116628688e+002	(-1.50699387445930e+000dB,9.48192879057199e+001°)
7.94328234724277e+002	(-1.70561201772526e+000dB,9.47099275068300e+001°)
8.12830516164095e+002	(-1.90429194314794e+000dB,9.46030194973153e+001°)
8.31763771102666e+002	(-2.10303090591915e+000dB,9.44985101655221e+001°)
8.51138038202372e+002	(-2.30182628163565e+000dB,9.43963468756892e+001°)
8.70963589956076e+002	(-2.50067556115152e+000dB,9.42964780528498e+001°)
8.91250938133741e+002	(-2.69957634563886e+000dB,9.41988531674693e+001°)
9.12010839355905e+002	(-2.89852634184922e+000dB,9.41034227198633e+001°)
9.33254300796986e+002	(-3.09752335756885e+000dB,9.40101382244361e+001°)
9.54992586021431e+002	(-3.29656529726053e+000dB,9.39189521937776e+001°)
9.77237220955805e+002	(-3.49565015788509e+000dB,9.38298181226536e+001°)
9.99999999999994e+002	(-3.69477602489617e+000dB,9.37426904719201e+001°)
1.02329299228075e+003	(-3.89394106840139e+000dB,9.36575246523935e+001°)
1.04712854805089e+003	(-4.09314353948391e+000dB,9.35742770087019e+001°)
1.07151930523760e+003	(-4.29238176667803e+000dB,9.34929048031423e+001°)
1.09647819614318e+003	(-4.49165415259300e+000dB,9.34133661995682e+001°)
1.12201845430196e+003	(-4.69095917067922e+000dB,9.33356202473272e+001°)
1.14815362149688e+003	(-4.89029536213125e+000dB,9.32596268652671e+001°)
1.17489755493952e+003	(-5.08966133292225e+000dB,9.31853468258298e+001°)
1.20226443461741e+003	(-5.28905575096459e+000dB,9.31127417392466e+001°)
1.23026877081237e+003	(-5.48847734339157e+000dB,9.30417740378507e+001°)
1.25892541179416e+003	(-5.68792489395550e+000dB,9.29724069605193e+001°)
1.28824955169313e+003	(-5.88739724053719e+000dB,9.29046045372565e+001°)
1.31825673855640e+003	(-6.08689327276256e+000dB,9.28383315739284e+001°)
1.34896288259165e+003	(-6.28641192972188e+000dB,9.27735536371590e+001°)
1.38038426460288e+003	(-6.48595219778731e+000dB,9.27102370393951e+001°)
1.41253754462275e+003	(-6.68551310852498e+000dB,9.26483488241484e+001°)
1.44543977074592e+003	(-6.88509373669738e+000dB,9.25878567514202e+001°)
1.47910838816820e+003	(-7.08469319835242e+000dB,9.25287292833152e+001°)
1.51356124843620e+003	(-7.28431064899563e+000dB,9.24709355698488e+001°)
1.54881661891247e+003	(-7.48394528184189e+000dB,9.24144454349522e+001°)
1.58489319246110e+003	(-7.68359632614335e+000dB,9.23592293626787e+001°)
1.62181009735892e+003	(-7.88326304559043e+000dB,9.23052584836145e+001°)
