time	V(vo)
2.219139150730702e-003	2.324027e+000
2.228904775730701e-003	2.340611e+000
2.238670400730701e-003	2.353530e+000
2.248436025730701e-003	2.363519e+000
2.258201650730701e-003	2.371144e+000
2.267967275730701e-003	2.376841e+000
2.277732900730700e-003	2.380937e+000
2.287498525730700e-003	2.383662e+000
2.297264150730700e-003	2.385156e+000
2.307029775730700e-003	2.385458e+000
2.316795400730700e-003	2.384528e+000
2.325539410255230e-003	2.382419e+000
2.334781580193767e-003	2.378646e+000
2.341756648111797e-003	2.374355e+000
2.349220967659056e-003	2.368005e+000
2.353843179194306e-003	2.362867e+000
2.357079234245776e-003	2.358268e+000
2.359616685241598e-003	2.353724e+000
2.362069823277533e-003	2.347952e+000
2.366725223143712e-003	2.333531e+000
2.371333264502731e-003	2.314228e+000
2.378894508432231e-003	2.271241e+000
2.388427787782504e-003	2.200848e+000
2.398193412782503e-003	2.111125e+000
2.407959037782503e-003	2.004922e+000
2.417724662782503e-003	1.884378e+000
2.427490287782503e-003	1.751466e+000
2.437255912782503e-003	1.607877e+000
2.447021537782502e-003	1.455070e+000
2.456787162782502e-003	1.294331e+000
2.466552787782502e-003	1.126809e+000
2.476318412782502e-003	9.535530e-001
2.495849662782501e-003	5.936821e-001
2.505615287782501e-003	4.088589e-001
2.515380912782501e-003	2.219108e-001
2.525146537782501e-003	3.365383e-002
2.544677787782500e-003	-3.436241e-001
2.564209037782500e-003	-7.168213e-001
2.573974662782500e-003	-9.000382e-001
2.583740287782499e-003	-1.080049e+000
2.593505912782499e-003	-1.256160e+000
2.603271537782499e-003	-1.428337e+000
2.608400072546054e-003	-1.517137e+000
2.608433451147128e-003	-1.517705e+000
2.608602387740320e-003	-1.520582e+000
2.608771324333512e-003	-1.523457e+000
2.608940260926704e-003	-1.526330e+000
2.609109197519896e-003	-1.529201e+000
2.609278134113088e-003	-1.532069e+000
2.609447070706280e-003	-1.534936e+000
2.609616007299472e-003	-1.537800e+000
2.610836710424472e-003	-1.558452e+000
2.612206225309298e-003	-1.581524e+000
2.612467036282424e-003	-1.585916e+000
2.612727847255549e-003	-1.590301e+000
2.612988658228674e-003	-1.594680e+000
2.613249469201800e-003	-1.599053e+000
2.613510280174926e-003	-1.603421e+000
2.613771091148051e-003	-1.607781e+000
2.614031902121177e-003	-1.612136e+000
2.614397180170290e-003	-1.618227e+000
2.615127736268518e-003	-1.630385e+000
2.615683323178109e-003	-1.639613e+000
2.616169946364962e-003	-1.647676e+000
2.617297160629786e-003	-1.666287e+000
2.618491861591611e-003	-1.685912e+000
2.619247463822531e-003	-1.698239e+000
2.619966294235651e-003	-1.709831e+000
2.622088379911197e-003	-1.743263e+000
2.624004153555857e-003	-1.772429e+000
2.626136877456151e-003	-1.803924e+000
2.629030898533284e-003	-1.845268e+000
2.632053874574185e-003	-1.887004e+000
