time	V(vi_op)
3.531239681104619e-003	4.478794e+000
3.541005306104619e-003	4.472836e+000
3.550770931104618e-003	4.466978e+000
3.560536556104618e-003	4.461241e+000
3.570302181104618e-003	4.455623e+000
3.574318493470567e-003	4.453354e+000
3.576743292540709e-003	4.452004e+000
3.579218720779446e-003	4.450638e+000
3.580590076503171e-003	4.449886e+000
3.581593651209041e-003	4.449338e+000
3.582575044340902e-003	4.448805e+000
3.583405474875932e-003	4.448355e+000
3.584535343635046e-003	4.447746e+000
3.585523644546540e-003	4.447214e+000
3.586550451055513e-003	4.446665e+000
3.588604064073460e-003	4.445574e+000
3.591373543819884e-003	4.444116e+000
3.594460195162581e-003	4.442511e+000
3.598924660948991e-003	4.440228e+000
3.603336437027841e-003	4.438022e+000
3.610967984631398e-003	4.434322e+000
3.619005914867642e-003	4.430581e+000
3.628771539867641e-003	4.426243e+000
3.634717328730023e-003	4.423732e+000
3.641536255196079e-003	4.420988e+000
3.646106408056364e-003	4.419231e+000
3.652184393879343e-003	4.417027e+000
3.661950018879343e-003	4.413727e+000
3.671715643879343e-003	4.410720e+000
3.681481268879343e-003	4.408046e+000
3.691246893879343e-003	4.405715e+000
3.701012518879342e-003	4.403737e+000
3.710778143879342e-003	4.402117e+000
3.720543768879342e-003	4.400863e+000
3.730309393879342e-003	4.399980e+000
3.740075018879342e-003	4.399469e+000
3.749840643879341e-003	4.399335e+000
3.759606268879341e-003	4.399568e+000
3.768478059045983e-003	4.400103e+000
3.777185882549212e-003	4.400920e+000
3.784037666855901e-003	4.401745e+000
3.786900601557109e-003	4.402152e+000
3.791151807028365e-003	4.402814e+000
3.791152961309053e-003	4.402814e+000
3.791194845208288e-003	4.402821e+000
3.791236729107523e-003	4.402828e+000
3.791278613006758e-003	4.402835e+000
3.791320496905994e-003	4.402842e+000
3.791362380805229e-003	4.402849e+000
3.791404264704464e-003	4.402856e+000
3.791446148603699e-003	4.402863e+000
3.792332636171764e-003	4.403014e+000
3.793514619595851e-003	4.403219e+000
3.794340642894845e-003	4.403365e+000
3.795390241634996e-003	4.403555e+000
3.796409887961544e-003	4.403743e+000
3.797454728189456e-003	4.403941e+000
3.799544408645280e-003	4.404347e+000
3.800557427302088e-003	4.404549e+000
3.801671030632141e-003	4.404777e+000
3.803303598221177e-003	4.405119e+000
3.804975378264663e-003	4.405480e+000
3.807051799446465e-003	4.405942e+000
3.808865623879185e-003	4.406358e+000
3.813617434735576e-003	4.407516e+000
3.819215727435896e-003	4.409008e+000
3.828981352435896e-003	4.411849e+000
3.838746977435895e-003	4.414982e+000
3.848512602435895e-003	4.418433e+000
3.858278227435895e-003	4.422187e+000
3.868043852435895e-003	4.426232e+000
3.877809477435895e-003	4.430552e+000
3.887575102435894e-003	4.435130e+000
3.897340727435894e-003	4.439949e+000
3.907106352435894e-003	4.444992e+000
3.916871977435894e-003	4.450238e+000
3.926637602435894e-003	4.455669e+000
3.936403227435894e-003	4.461264e+000
3.946168852435894e-003	4.467002e+000
3.955934477435893e-003	4.472862e+000
3.965700102435893e-003	4.478820e+000
3.975465727435893e-003	4.484854e+000
3.983546090272135e-003	4.489889e+000
3.992001960527709e-003	4.495186e+000
3.998894241107132e-003	4.499513e+000
4.006497290033029e-003	4.504284e+000
4.016262915033029e-003	4.510393e+000
4.026028540033029e-003	4.516460e+000
4.035794165033029e-003	4.522462e+000
4.045559790033028e-003	4.528377e+000
4.055325415033028e-003	4.534183e+000
4.065091040033028e-003	4.539856e+000
4.074856665033028e-003	4.545407e+000
4.077986092402274e-003	4.547152e+000
4.080748097205622e-003	4.548670e+000
4.082352249251623e-003	4.549544e+000
4.084349674730542e-003	4.550624e+000
4.086164435433665e-003	4.551599e+000
4.088442626829564e-003	4.552813e+000
4.090867553451916e-003	4.554092e+000
4.093773064303602e-003	4.555607e+000
4.097511982334197e-003	4.557528e+000
4.102028505887357e-003	4.559802e+000
4.108738890632967e-003	4.563083e+000
4.117528885434390e-003	4.567212e+000
4.127294510434389e-003	4.571569e+000
4.137060135434389e-003	4.575659e+000
4.146825760434389e-003	4.579463e+000
4.156591385434389e-003	4.582963e+000
4.176122635434388e-003	4.589008e+000
4.195653885434388e-003	4.593703e+000
4.215185135434387e-003	4.596978e+000
4.234716385434387e-003	4.598783e+000
4.244482010434387e-003	4.599124e+000
4.254247635434387e-003	4.599090e+000
4.264013260434386e-003	4.598680e+000
4.273778885434386e-003	4.597896e+000
4.283544510434386e-003	4.596769e+000
4.290234010841798e-003	4.595789e+000
4.296278475682419e-003	4.594748e+000
4.300758813445829e-003	4.593884e+000
4.305191981155979e-003	4.592957e+000
4.307824057578612e-003	4.592371e+000
4.310435287864392e-003	4.591763e+000
4.312654506602240e-003	4.591226e+000
4.314825925147052e-003	4.590679e+000
4.318391657606203e-003	4.589745e+000
4.322017201074216e-003	4.588741e+000
4.329207245609848e-003	4.586612e+000
4.336758804339280e-003	4.584195e+000
4.346524429339280e-003	4.580791e+000
4.356290054339279e-003	4.577098e+000
4.366055679339279e-003	4.573112e+000
4.375821304339279e-003	4.568848e+000
4.385586929339279e-003	4.564322e+000
4.395352554339278e-003	4.559551e+000
4.405118179339278e-003	4.554554e+000
4.414883804339278e-003	4.549347e+000
4.424649429339278e-003	4.543953e+000
4.434415054339278e-003	4.538391e+000
4.444180679339277e-003	4.532681e+000
4.453946304339277e-003	4.526845e+000
4.463711929339277e-003	4.520906e+000
4.473477554339277e-003	4.514885e+000
4.483243179339277e-003	4.508807e+000
4.491171559378549e-003	4.503844e+000
4.499317860751699e-003	4.498730e+000
4.506246996103783e-003	4.494381e+000
4.513840288515887e-003	4.489629e+000
4.523605913515887e-003	4.483552e+000
4.533371538515887e-003	4.477532e+000
4.543137163515887e-003	4.471594e+000
4.552902788515886e-003	4.465761e+000
4.562668413515886e-003	4.460053e+000
4.572434038515886e-003	4.454468e+000
4.576524850177834e-003	4.452172e+000
4.578584685456120e-003	4.451031e+000
4.578596191238561e-003	4.451025e+000
4.578757272192745e-003	4.450936e+000
4.578941364711812e-003	4.450835e+000
4.579309549749947e-003	4.450633e+000
4.579947290850224e-003	4.450283e+000
4.580346536438986e-003	4.450064e+000
4.581734241099574e-003	4.449308e+000
4.582977190704771e-003	4.448633e+000
4.583819062369348e-003	4.448177e+000
4.584674053635216e-003	4.447717e+000
4.585972907307399e-003	4.447020e+000
4.587272398197056e-003	4.446326e+000
4.589871379976370e-003	4.444950e+000
4.592344810958722e-003	4.443653e+000
4.595629087237225e-003	4.441953e+000
4.599478889444096e-003	4.439995e+000
