time	V(vin)
3.718161277649075e-003	-9.800569e-002
3.727926902649074e-003	-9.903980e-002
3.737692527649074e-003	-9.970115e-002
3.747458152649074e-003	-9.998725e-002
3.757223777649074e-003	-9.989701e-002
3.766989402649074e-003	-9.943079e-002
3.776755027649073e-003	-9.859033e-002
3.786520652649073e-003	-9.737880e-002
3.796286277649073e-003	-9.580076e-002
3.806051902649073e-003	-9.386214e-002
3.815817527649072e-003	-9.157025e-002
3.825583152649072e-003	-8.893371e-002
3.835348777649072e-003	-8.596244e-002
3.842771831862179e-003	-8.348684e-002
3.848889208706314e-003	-8.130996e-002
3.855591023402503e-003	-7.878736e-002
3.861261164794614e-003	-7.654381e-002
3.862165161283581e-003	-7.617699e-002
3.863069157772549e-003	-7.580775e-002
3.863973154261517e-003	-7.543611e-002
3.864877150750485e-003	-7.506205e-002
3.865781147239452e-003	-7.468558e-002
3.866685143728420e-003	-7.430670e-002
3.867589140217388e-003	-7.392541e-002
3.868283252381790e-003	-7.363100e-002
3.869208735267660e-003	-7.323629e-002
3.871030230584533e-003	-7.245222e-002
3.873073338414265e-003	-7.156147e-002
3.874762116927667e-003	-7.081629e-002
3.875740417278357e-003	-7.038096e-002
3.876877128393126e-003	-6.987179e-002
3.877826884072345e-003	-6.944364e-002
3.878730827008689e-003	-6.903384e-002
3.879483326770439e-003	-6.869100e-002
3.880174800142913e-003	-6.837460e-002
3.880878215301481e-003	-6.805143e-002
3.881781412160070e-003	-6.763451e-002
3.883040346986831e-003	-6.704975e-002
3.884192749240253e-003	-6.651080e-002
3.885642169598418e-003	-6.582799e-002
3.886858540221341e-003	-6.525075e-002
3.888561676021417e-003	-6.443612e-002
3.890746002408638e-003	-6.338054e-002
3.895114655183079e-003	-6.123377e-002
3.903117797250671e-003	-5.718251e-002
3.912883422250671e-003	-5.204429e-002
3.922649047250671e-003	-4.671020e-002
3.932414672250671e-003	-4.120029e-002
3.942180297250670e-003	-3.553532e-002
3.951945922250670e-003	-2.973660e-002
3.961711547250670e-003	-2.382596e-002
3.971477172250670e-003	-1.782564e-002
3.977331242131467e-003	-1.419509e-002
3.980717067624812e-003	-1.208620e-002
