time	V(n005)
1.580649474008039e-003	-5.360087e-001
1.581547094127671e-003	-5.361366e-001
1.582784009779037e-003	-5.362983e-001
1.584980812681971e-003	-5.365661e-001
1.587094151705966e-003	-5.368198e-001
1.590457167443668e-003	-5.372698e-001
1.594266938602083e-003	-5.378935e-001
1.598719637465292e-003	-5.387403e-001
1.606501988496086e-003	-5.402934e-001
1.613687196292571e-003	-5.416610e-001
1.621911170305298e-003	-5.429842e-001
1.627192956873715e-003	-5.435340e-001
1.633774410901858e-003	-5.438622e-001
1.637749802489959e-003	-5.439571e-001
1.643443192023610e-003	-5.440277e-001
1.651089473792224e-003	-5.440854e-001
1.660855098792224e-003	-5.441260e-001
1.670620723792224e-003	-5.441453e-001
1.680386348792224e-003	-5.441513e-001
1.699917598792224e-003	-5.441363e-001
1.709683223792224e-003	-5.441139e-001
1.719448848792224e-003	-5.440750e-001
1.729214473792224e-003	-5.440050e-001
1.738980098792224e-003	-5.438665e-001
1.748745723792224e-003	-5.435598e-001
1.757289782137518e-003	-5.429485e-001
1.766408053637899e-003	-5.417391e-001
1.775879753838667e-003	-5.399167e-001
1.784006711668364e-003	-5.380550e-001
1.788663889909199e-003	-5.370249e-001
1.791545316654300e-003	-5.365390e-001
1.794555827914401e-003	-5.361754e-001
1.796301200306019e-003	-5.359853e-001
1.797366502048364e-003	-5.358399e-001
1.798877256365366e-003	-5.355722e-001
1.800151686635512e-003	-5.353130e-001
1.801401474322255e-003	-5.350331e-001
1.802385085323663e-003	-5.347963e-001
1.803254191326380e-003	-5.345747e-001
1.804135110678761e-003	-5.343392e-001
1.805188203199545e-003	-5.340433e-001
1.807078860955862e-003	-5.334838e-001
1.808572032436739e-003	-5.330179e-001
1.810252607907519e-003	-5.324658e-001
1.812076559397702e-003	-5.318386e-001
1.818059510178213e-003	-5.295501e-001
1.825945688580540e-003	-5.261093e-001
1.835711313580540e-003	-5.212518e-001
1.845476938580540e-003	-5.155914e-001
1.855242563580540e-003	-5.088967e-001
1.865008188580540e-003	-5.008489e-001
1.874773813580540e-003	-4.909356e-001
1.884539438580540e-003	-4.782871e-001
1.894305063580540e-003	-4.613143e-001
1.904070688580540e-003	-4.367294e-001
1.913836313580540e-003	-3.985642e-001
1.923601938580540e-003	-3.395571e-001
1.933367563580540e-003	-2.558195e-001
1.943133188580540e-003	-1.496378e-001
1.952898813580540e-003	-2.643399e-002
1.962664438580540e-003	1.086623e-001
1.972430063580540e-003	2.475771e-001
1.982195688580540e-003	3.697175e-001
1.990741734434573e-003	4.413871e-001
1.998232901943552e-003	4.736095e-001
2.006480207882170e-003	4.909976e-001
2.015713001685074e-003	5.025506e-001
2.025478626685074e-003	5.111002e-001
2.035244251685073e-003	5.176572e-001
2.045009876685073e-003	5.230159e-001
2.054775501685073e-003	5.275658e-001
2.064541126685073e-003	5.314781e-001
2.074306751685072e-003	5.348533e-001
2.078044052462142e-003	5.358649e-001
2.080112756991815e-003	5.362310e-001
2.082152354195981e-003	5.364637e-001
2.083613498970626e-003	5.365882e-001
2.085733658961391e-003	5.367357e-001
2.087821589948624e-003	5.368575e-001
2.090848049523642e-003	5.370040e-001
2.094859852517028e-003	5.371680e-001
2.098514693916035e-003	5.372915e-001
2.102924192867315e-003	5.374133e-001
2.108704868671561e-003	5.375431e-001
2.117061002720532e-003	5.376871e-001
2.126826627720532e-003	5.378099e-001
2.136592252720532e-003	5.378973e-001
2.146357877720532e-003	5.379598e-001
2.156123502720531e-003	5.380043e-001
2.175654752720531e-003	5.380542e-001
2.195186002720530e-003	5.380620e-001
2.214717252720530e-003	5.380302e-001
2.234248502720530e-003	5.379520e-001
2.244014127720529e-003	5.378891e-001
2.253779752720529e-003	5.378027e-001
2.263545377720529e-003	5.376821e-001
2.273311002720529e-003	5.375102e-001
2.281769680190011e-003	5.373014e-001
2.289386060704422e-003	5.370536e-001
2.294457027496655e-003	5.368337e-001
2.299438613326378e-003	5.365415e-001
2.304578929255680e-003	5.361432e-001
2.308122330631367e-003	5.357580e-001
2.310497086412538e-003	5.353753e-001
2.312676330478925e-003	5.348887e-001
2.316196051064213e-003	5.339157e-001
2.319877854406112e-003	5.327089e-001
2.325813112977980e-003	5.304352e-001
2.333090861696048e-003	5.272079e-001
2.342856486696048e-003	5.221851e-001
2.352622111696047e-003	5.163231e-001
2.362387736696047e-003	5.093811e-001
2.372153361696047e-003	5.010250e-001
2.381918986696047e-003	4.907038e-001
2.391684611696047e-003	4.774677e-001
2.401450236696046e-003	4.595531e-001
2.411215861696046e-003	4.332606e-001
2.420981486696046e-003	3.920280e-001
2.430747111696046e-003	3.285452e-001
2.440512736696046e-003	2.398201e-001
2.450278361696045e-003	1.290884e-001
2.460043986696045e-003	2.079476e-003
2.469809611696045e-003	-1.358996e-001
2.479575236696045e-003	-2.743204e-001
2.489340861696044e-003	-3.891118e-001
2.498192706600915e-003	-4.538269e-001
2.505220442479134e-003	-4.791257e-001
2.512971934663653e-003	-4.932989e-001
2.522737559663652e-003	-5.045293e-001
2.532503184663652e-003	-5.125861e-001
2.542268809663652e-003	-5.188123e-001
2.552034434663652e-003	-5.239354e-001
2.561800059663652e-003	-5.282901e-001
2.571565684663651e-003	-5.321046e-001
2.575409118267138e-003	-5.334760e-001
2.575412675741484e-003	-5.334770e-001
2.575585467352563e-003	-5.335336e-001
2.575758258963641e-003	-5.335902e-001
2.575931050574719e-003	-5.336468e-001
2.576103842185798e-003	-5.337035e-001
2.576276633796876e-003	-5.337602e-001
2.576449425407955e-003	-5.338169e-001
2.576622217019033e-003	-5.338736e-001
2.577836501595710e-003	-5.342666e-001
2.578719189599471e-003	-5.345483e-001
2.579450723857298e-003	-5.347784e-001
2.580028186443041e-003	-5.349583e-001
2.581479969467281e-003	-5.354037e-001
2.582426698558353e-003	-5.356725e-001
2.583179970628770e-003	-5.358413e-001
2.583988909746341e-003	-5.359769e-001
2.584989359346375e-003	-5.361208e-001
2.586033547957487e-003	-5.362549e-001
2.588121925179711e-003	-5.365005e-001
2.590408495810792e-003	-5.367695e-001
2.594306519644090e-003	-5.372911e-001
2.599457563072600e-003	-5.381327e-001
2.604233778877567e-003	-5.390278e-001
2.611843376006361e-003	-5.404996e-001
2.619784243601678e-003	-5.419301e-001
2.627633743875110e-003	-5.430765e-001
2.633314167216115e-003	-5.435876e-001
2.639933009211151e-003	-5.438644e-001
2.644298524820368e-003	-5.439520e-001
2.650229911143050e-003	-5.440152e-001
