time	V(p001)
1.399279075144843e-003	1.198491e+000
1.409044700144843e-003	9.067596e-001
1.418810325144843e-003	6.122054e-001
1.428575950144843e-003	3.159010e-001
1.438341575144843e-003	1.902334e-002
1.448107200144843e-003	-2.772120e-001
1.457872825144843e-003	-5.716546e-001
1.467638450144843e-003	-8.632148e-001
1.477404075144843e-003	-1.150907e+000
1.485842211826330e-003	-1.395145e+000
1.494658341033255e-003	-1.645370e+000
1.501636469128721e-003	-1.839546e+000
1.509308842678893e-003	-2.048287e+000
1.519074467678893e-003	-2.306940e+000
1.528840092678893e-003	-2.557025e+000
1.538605717678893e-003	-2.797140e+000
1.548371342678893e-003	-3.026368e+000
1.558136967678893e-003	-3.243774e+000
1.567902592678893e-003	-3.450305e+000
1.572301258165235e-003	-3.539664e+000
1.572327951621213e-003	-3.540177e+000
1.572577090543677e-003	-3.545042e+000
1.572861820740779e-003	-3.550599e+000
1.573431281134983e-003	-3.561676e+000
1.574570201923391e-003	-3.583706e+000
1.575431049968044e-003	-3.600224e+000
1.576180255610816e-003	-3.614489e+000
1.577209218921728e-003	-3.633953e+000
1.578313495464588e-003	-3.654576e+000
1.579151938042108e-003	-3.668526e+000
1.579899424758866e-003	-3.677621e+000
1.580649474008039e-003	-3.684328e+000
1.581547094127671e-003	-3.691467e+000
1.582784009779037e-003	-3.700517e+000
1.584980812681971e-003	-3.715727e+000
1.587094151705966e-003	-3.730577e+000
1.590457167443668e-003	-3.758214e+000
1.594266938602083e-003	-3.798211e+000
1.598719637465292e-003	-3.854159e+000
1.606501988496086e-003	-3.959115e+000
1.613687196292571e-003	-4.053506e+000
1.621911170305298e-003	-4.146131e+000
1.627192956873715e-003	-4.184201e+000
1.633774410901858e-003	-4.205801e+000
1.637749802489959e-003	-4.211656e+000
1.643443192023610e-003	-4.215913e+000
1.651089473792224e-003	-4.219475e+000
1.660855098792224e-003	-4.222048e+000
1.670620723792224e-003	-4.223291e+000
1.680386348792224e-003	-4.223649e+000
1.699917598792224e-003	-4.222449e+000
1.709683223792224e-003	-4.220742e+000
1.719448848792224e-003	-4.217799e+000
1.729214473792224e-003	-4.212515e+000
1.738980098792224e-003	-4.202040e+000
1.748745723792224e-003	-4.178902e+000
1.757289782137518e-003	-4.133335e+000
1.766408053637899e-003	-4.045322e+000
