Freq.	V(outder)
8.70963589956076e+002	(2.47534330589073e+000dB,8.90646867880678e+001°)
8.91250938133741e+002	(2.67532633170069e+000dB,8.90429004288107e+001°)
9.12010839355905e+002	(2.87530855744287e+000dB,8.90206065917796e+001°)
9.33254300796986e+002	(3.07528994540170e+000dB,8.89977934557078e+001°)
9.54992586021431e+002	(3.27527045608320e+000dB,8.89744489239337e+001°)
9.77237220955805e+002	(3.47525004813111e+000dB,8.89505606179832e+001°)
9.99999999999994e+002	(3.67522867823899e+000dB,8.89261158710021e+001°)
1.02329299228075e+003	(3.87520630105821e+000dB,8.89011017210353e+001°)
1.04712854805089e+003	(4.07518286910162e+000dB,8.88755049041499e+001°)
1.07151930523760e+003	(4.27515833264259e+000dB,8.88493118473967e+001°)
1.09647819614318e+003	(4.47513263960936e+000dB,8.88225086616080e+001°)
1.12201845430196e+003	(4.67510573547435e+000dB,8.87950811340282e+001°)
1.14815362149688e+003	(4.87507756313825e+000dB,8.87670147207707e+001°)
1.17489755493952e+003	(5.07504806280865e+000dB,8.87382945391001e+001°)
1.20226443461741e+003	(5.27501717187288e+000dB,8.87089053595340e+001°)
1.23026877081237e+003	(5.47498482476489e+000dB,8.86788315977602e+001°)
1.25892541179416e+003	(5.67495095282585e+000dB,8.86480573063648e+001°)
1.28824955169313e+003	(5.87491548415807e+000dB,8.86165661663685e+001°)
1.31825673855640e+003	(6.07487834347211e+000dB,8.85843414785637e+001°)
1.34896288259165e+003	(6.27483945192657e+000dB,8.85513661546506e+001°)
1.38038426460288e+003	(6.47479872696037e+000dB,8.85176227081652e+001°)
1.41253754462275e+003	(6.67475608211705e+000dB,8.84830932451966e+001°)
1.44543977074592e+003	(6.87471142686073e+000dB,8.84477594548861e+001°)
1.47910838816820e+003	(7.07466466638348e+000dB,8.84116025997053e+001°)
1.51356124843620e+003	(7.27461570140333e+000dB,8.83746035055069e+001°)
1.54881661891247e+003	(7.47456442795302e+000dB,8.83367425513424e+001°)
1.58489319246110e+003	(7.67451073715846e+000dB,8.82979996590427e+001°)
1.62181009735892e+003	(7.87445451500682e+000dB,8.82583542825543e+001°)
1.65958690743755e+003	(8.07439564210368e+000dB,8.82177853970266e+001°)
1.69824365246173e+003	(8.27433399341853e+000dB,8.81762714876440e+001°)
1.73780082874936e+003	(8.47426943801829e+000dB,8.81337905381968e+001°)
1.77827941003891e+003	(8.67420183878814e+000dB,8.80903200193844e+001°)
1.81970085860997e+003	(8.87413105213917e+000dB,8.80458368768451e+001°)
1.86208713666286e+003	(9.07405692770205e+000dB,8.80003175189062e+001°)
1.90546071796323e+003	(9.27397930800621e+000dB,8.79537378040466e+001°)
1.94984459975803e+003	(9.47389802814379e+000dB,8.79060730280660e+001°)
1.99526231496887e+003	(9.67381291541756e+000dB,8.78572979109545e+001°)
2.04173794466952e+003	(9.87372378897219e+000dB,8.78073865834534e+001°)
2.08929613085403e+003	(1.00736304594079e+001dB,8.77563125733021e+001°)
2.13796208950222e+003	(1.02735327283756e+001dB,8.77040487911624e+001°)
2.18776162394954e+003	(1.04734303881533e+001dB,8.76505675162128e+001°)
2.23872113856832e+003	(1.06733232212014e+001dB,8.75958403814053e+001°)
2.29086765276776e+003	(1.08732109996979e+001dB,8.75398383583761e+001°)
2.34422881531991e+003	(1.10730934850505e+001dB,8.74825317420028e+001°)
2.39883291901947e+003	(1.12729704273859e+001dB,8.74238901345987e+001°)
2.45470891568501e+003	(1.14728415650146e+001dB,8.73638824297365e+001°)
2.51188643150956e+003	(1.16727066238704e+001dB,8.73024767956926e+001°)
2.57039578276885e+003	(1.18725653169225e+001dB,8.72396406585011e+001°)
2.63026799189536e+003	(1.20724173435603e+001dB,8.71753406846118e+001°)
2.69153480392690e+003	(1.22722623889481e+001dB,8.71095427631384e+001°)
2.75422870333815e+003	(1.24721001233491e+001dB,8.70422119876915e+001°)
2.81838293126443e+003	(1.26719302014170e+001dB,8.69733126377827e+001°)
2.88403150312659e+003	(1.28717522614542e+001dB,8.69028081597920e+001°)
2.95120922666636e+003	(1.30715659246330e+001dB,8.68306611474873e+001°)
3.01995172040199e+003	(1.32713707941811e+001dB,8.67568333220847e+001°)
3.09029543251357e+003	(1.34711664545266e+001dB,8.66812855118402e+001°)
3.16227766016836e+003	(1.36709524704027e+001dB,8.66039776311593e+001°)
3.23593656929626e+003	(1.38707283859086e+001dB,8.65248686592152e+001°)
3.31131121482589e+003	(1.40704937235261e+001dB,8.64439166180622e+001°)
3.38844156139200e+003	(1.42702479830874e+001dB,8.63610785502335e+001°)
3.46736850452529e+003	(1.44699906406944e+001dB,8.62763104958093e+001°)
3.54813389233573e+003	(1.46697211475847e+001dB,8.61895674689445e+001°)
3.63078054770099e+003	(1.48694389289436e+001dB,8.61008034338414e+001°)
3.71535229097170e+003	(1.50691433826574e+001dB,8.60099712801554e+001°)
3.80189396320558e+003	(1.52688338780077e+001dB,8.59170227978182e+001°)
3.89045144994278e+003	(1.54685097543006e+001dB,8.58219086512670e+001°)
3.98107170553494e+003	(1.56681703194305e+001dB,8.57245783530631e+001°)
4.07380277804110e+003	(1.58678148483731e+001dB,8.56249802368869e+001°)
4.16869383470332e+003	(1.60674425816058e+001dB,8.55230614298933e+001°)
4.26579518801589e+003	(1.62670527234496e+001dB,8.54187678244123e+001°)
4.36515832240162e+003	(1.64666444403309e+001dB,8.53120440489798e+001°)
4.46683592150960e+003	(1.66662168589579e+001dB,8.52028334386819e+001°)
4.57088189614871e+003	(1.68657690644071e+001dB,8.50910780047960e+001°)
4.67735141287194e+003	(1.70653000981160e+001dB,8.49767184037127e+001°)
4.78630092322634e+003	(1.72648089557767e+001dB,8.48596939051209e+001°)
4.89778819368442e+003	(1.74642945851258e+001dB,8.47399423594386e+001°)
5.01187233627268e+003	(1.76637558836246e+001dB,8.46174001644712e+001°)
5.12861383991361e+003	(1.78631916960243e+001dB,8.44920022312800e+001°)
5.24807460249768e+003	(1.80626008118111e+001dB,8.43636819492406e+001°)
5.37031796370248e+003	(1.82619819625226e+001dB,8.42323711502743e+001°)
5.49540873857620e+003	(1.84613338189323e+001dB,8.40980000722314e+001°)
5.62341325190344e+003	(1.86606549880912e+001dB,8.39604973214074e+001°)
5.75439937337152e+003	(1.88599440102231e+001dB,8.38197898341725e+001°)
5.88843655355584e+003	(1.90591993554623e+001dB,8.36758028376930e+001°)
6.02559586074353e+003	(1.92584194204282e+001dB,8.35284598097255e+001°)
6.16595001861477e+003	(1.94576025246261e+001dB,8.33776824374617e+001°)
6.30957344480188e+003	(1.96567469066665e+001dB,8.32233905754033e+001°)
6.45654229034650e+003	(1.98558507202916e+001dB,8.30655022022456e+001°)
6.60693448007590e+003	(2.00549120302000e+001dB,8.29039333767492e+001°)
6.76082975391976e+003	(2.02539288076582e+001dB,8.27385981925762e+001°)
6.91830970918931e+003	(2.04528989258874e+001dB,8.25694087320722e+001°)
7.07945784384132e+003	(2.06518201552127e+001dB,8.23962750189700e+001°)
7.24435960074984e+003	(2.08506901579629e+001dB,8.22191049699954e+001°)
7.41310241300911e+003	(2.10495064831065e+001dB,8.20378043453530e+001°)
7.58577575029177e+003	(2.12482665606090e+001dB,8.18522766980715e+001°)
7.76247116628685e+003	(2.14469676954974e+001dB,8.16624233221882e+001°)
7.94328234724275e+003	(2.16456070616132e+001dB,8.14681431997519e+001°)
8.12830516164092e+003	(2.18441816950401e+001dB,8.12693329466276e+001°)
8.31763771102664e+003	(2.20426884871835e+001dB,8.10658867570816e+001°)
8.51138038202369e+003	(2.22411241774871e+001dB,8.08576963471326e+001°)
8.70963589956073e+003	(2.24394853457614e+001dB,8.06446508966521e+001°)
8.91250938133738e+003	(2.26377684041059e+001dB,8.04266369902005e+001°)
9.12010839355902e+003	(2.28359695883993e+001dB,8.02035385565867e+001°)
9.33254300796983e+003	(2.30340849493333e+001dB,7.99752368071418e+001°)
9.54992586021428e+003	(2.32321103429652e+001dB,7.97416101727002e+001°)
9.77237220955802e+003	(2.34300414207591e+001dB,7.95025342392836e+001°)
9.99999999999991e+003	(2.36278736190878e+001dB,7.92578816824888e+001°)
1.02329299228075e+004	(2.38256021481638e+001dB,7.90075222005825e+001°)
1.04712854805089e+004	(2.40232219803641e+001dB,7.87513224463131e+001°)
1.07151930523760e+004	(2.42207278379165e+001dB,7.84891459574529e+001°)
1.09647819614318e+004	(2.44181141799065e+001dB,7.82208530860929e+001°)
1.12201845430195e+004	(2.46153751885666e+001dB,7.79463009267172e+001°)
1.14815362149687e+004	(2.48125047548052e+001dB,7.76653432430948e+001°)
1.17489755493952e+004	(2.50094964629293e+001dB,7.73778303940333e+001°)
1.20226443461740e+004	(2.52063435745139e+001dB,7.70836092580527e+001°)
1.23026877081237e+004	(2.54030390113666e+001dB,7.67825231570463e+001°)
1.25892541179416e+004	(2.55995753375338e+001dB,7.64744117790122e+001°)
1.28824955169312e+004	(2.57959447402911e+001dB,7.61591110999531e+001°)
1.31825673855640e+004	(2.59921390100572e+001dB,7.58364533050582e+001°)
1.34896288259164e+004	(2.61881495191675e+001dB,7.55062667093039e+001°)
1.38038426460287e+004	(2.63839671994387e+001dB,7.51683756776274e+001°)
1.41253754462274e+004	(2.65795825184531e+001dB,7.48226005448565e+001°)
1.44543977074591e+004	(2.67749854544857e+001dB,7.44687575356028e+001°)
1.47910838816819e+004	(2.69701654699949e+001dB,7.41066586843587e+001°)
1.51356124843619e+004	(2.71651114835908e+001dB,7.37361117560717e+001°)
1.54881661891247e+004	(2.73598118403925e+001dB,7.33569201675089e+001°)
1.58489319246110e+004	(2.75542542806807e+001dB,7.29688829097678e+001°)
