second,Volt
+453.00E-06,+4.73398447E+00
+454.00E-06,+4.73593760E+00
+455.00E-06,+4.73789072E+00
+456.00E-06,+4.74375010E+00
+457.00E-06,+4.74375010E+00
+458.00E-06,+4.74765635E+00
+459.00E-06,+4.74960947E+00
+460.00E-06,+4.75156260E+00
+461.00E-06,+4.75351572E+00
+462.00E-06,+4.75742197E+00
+463.00E-06,+4.75742197E+00
+464.00E-06,+4.76132822E+00
+465.00E-06,+4.76523447E+00
+466.00E-06,+4.75742197E+00
+467.00E-06,+4.77500010E+00
+468.00E-06,+4.76718760E+00
+469.00E-06,+4.76914072E+00
+470.00E-06,+4.77304697E+00
+471.00E-06,+4.77500010E+00
+472.00E-06,+4.77695322E+00
+473.00E-06,+4.77890635E+00
+474.00E-06,+4.78085947E+00
+475.00E-06,+4.78281260E+00
+476.00E-06,+4.78671885E+00
+477.00E-06,+4.78671885E+00
+478.00E-06,+4.78867197E+00
+479.00E-06,+4.79062510E+00
+480.00E-06,+4.79062510E+00
+481.00E-06,+4.79453135E+00
+482.00E-06,+4.79648447E+00
+483.00E-06,+4.79843760E+00
+484.00E-06,+4.80039072E+00
+485.00E-06,+4.80234385E+00
+486.00E-06,+4.80234385E+00
+487.00E-06,+4.80429697E+00
+488.00E-06,+4.80039072E+00
+489.00E-06,+4.81992197E+00
+490.00E-06,+4.81015635E+00
+491.00E-06,+4.81210947E+00
+492.00E-06,+4.81210947E+00
+493.00E-06,+4.81406260E+00
+494.00E-06,+4.81210947E+00
+495.00E-06,+4.81601572E+00
+496.00E-06,+4.83164072E+00
+497.00E-06,+4.81406260E+00
+498.00E-06,+4.82578135E+00
+499.00E-06,+4.82382822E+00
+500.00E-06,+4.82578135E+00
+501.00E-06,+4.82773447E+00
+502.00E-06,+4.82773447E+00
+503.00E-06,+4.82968760E+00
+504.00E-06,+4.82968760E+00
+505.00E-06,+4.82968760E+00
+506.00E-06,+4.83164072E+00
+507.00E-06,+4.83359385E+00
+508.00E-06,+4.83554697E+00
+509.00E-06,+4.83554697E+00
+510.00E-06,+4.83750010E+00
+511.00E-06,+4.83945322E+00
+512.00E-06,+4.83945322E+00
+513.00E-06,+4.84140635E+00
+514.00E-06,+4.84140635E+00
+515.00E-06,+4.84335947E+00
+516.00E-06,+4.84335947E+00
+517.00E-06,+4.84726572E+00
+518.00E-06,+4.84726572E+00
+519.00E-06,+4.84921885E+00
+520.00E-06,+4.84921885E+00
+521.00E-06,+4.84921885E+00
+522.00E-06,+4.84921885E+00
+523.00E-06,+4.85703135E+00
+524.00E-06,+4.85117197E+00
+525.00E-06,+4.85703135E+00
+526.00E-06,+4.85507822E+00
+527.00E-06,+4.85703135E+00
+528.00E-06,+4.85703135E+00
+529.00E-06,+4.86093760E+00
+530.00E-06,+4.85898447E+00
+531.00E-06,+4.86093760E+00
+532.00E-06,+4.86093760E+00
+533.00E-06,+4.86093760E+00
+534.00E-06,+4.85898447E+00
+535.00E-06,+4.85117197E+00
+536.00E-06,+4.85703135E+00
+537.00E-06,+4.85703135E+00
+538.00E-06,+4.86093760E+00
+539.00E-06,+4.85703135E+00
+540.00E-06,+4.86289072E+00
+541.00E-06,+4.86093760E+00
+542.00E-06,+4.85898447E+00
+543.00E-06,+4.86289072E+00
+544.00E-06,+4.86484385E+00
+545.00E-06,+4.86679697E+00
+546.00E-06,+4.86289072E+00
+547.00E-06,+4.86093760E+00
+548.00E-06,+4.86679697E+00
+549.00E-06,+4.86875010E+00
+550.00E-06,+4.86875010E+00
+551.00E-06,+4.86679697E+00
+552.00E-06,+4.87460947E+00
+553.00E-06,+4.85703135E+00
+554.00E-06,+4.88046885E+00
+555.00E-06,+4.87265635E+00
+556.00E-06,+4.87265635E+00
+557.00E-06,+4.87460947E+00
+558.00E-06,+4.87070322E+00
+559.00E-06,+4.87265635E+00
+560.00E-06,+4.88242197E+00
+561.00E-06,+4.87656260E+00
+562.00E-06,+4.87265635E+00
+563.00E-06,+4.87460947E+00
+564.00E-06,+4.87265635E+00
+565.00E-06,+4.87851572E+00
+566.00E-06,+4.87265635E+00
+567.00E-06,+4.87460947E+00
+568.00E-06,+4.87460947E+00
+569.00E-06,+4.87656260E+00
+570.00E-06,+4.87656260E+00
+571.00E-06,+4.87656260E+00
+572.00E-06,+4.87460947E+00
+573.00E-06,+4.88046885E+00
+574.00E-06,+4.87460947E+00
+575.00E-06,+4.87460947E+00
+576.00E-06,+4.87851572E+00
+577.00E-06,+4.88046885E+00
+578.00E-06,+4.88046885E+00
+579.00E-06,+4.87265635E+00
+580.00E-06,+4.88046885E+00
+581.00E-06,+4.88046885E+00
+582.00E-06,+4.87851572E+00
+583.00E-06,+4.87460947E+00
+584.00E-06,+4.88046885E+00
+585.00E-06,+4.88242197E+00
+586.00E-06,+4.88046885E+00
+587.00E-06,+4.87265635E+00
+588.00E-06,+4.87851572E+00
+589.00E-06,+4.87851572E+00
+590.00E-06,+4.87656260E+00
+591.00E-06,+4.88046885E+00
+592.00E-06,+4.87851572E+00
+593.00E-06,+4.88437510E+00
+594.00E-06,+4.87656260E+00
+595.00E-06,+4.87656260E+00
+596.00E-06,+4.87851572E+00
+597.00E-06,+4.88046885E+00
+598.00E-06,+4.88046885E+00
+599.00E-06,+4.87265635E+00
+600.00E-06,+4.88242197E+00
+601.00E-06,+4.87851572E+00
+602.00E-06,+4.87851572E+00
+603.00E-06,+4.87460947E+00
+604.00E-06,+4.87851572E+00
+605.00E-06,+4.88046885E+00
+606.00E-06,+4.87851572E+00
+607.00E-06,+4.87656260E+00
+608.00E-06,+4.87851572E+00
+609.00E-06,+4.87851572E+00
+610.00E-06,+4.88242197E+00
+611.00E-06,+4.86289072E+00
+612.00E-06,+4.88828135E+00
+613.00E-06,+4.88242197E+00
+614.00E-06,+4.87656260E+00
+615.00E-06,+4.87656260E+00
+616.00E-06,+4.87851572E+00
+617.00E-06,+4.87851572E+00
+618.00E-06,+4.88242197E+00
+619.00E-06,+4.87656260E+00
+620.00E-06,+4.87460947E+00
+621.00E-06,+4.87851572E+00
+622.00E-06,+4.87851572E+00
+623.00E-06,+4.87851572E+00
