Freq.	V(fb3)/V(inm3)
4.72063041263600e+003	(-1.58799209834597e+001dB,-3.67982846745562e+001°)
4.74241985260255e+003	(-1.58144371891852e+001dB,-3.66699478301186e+001°)
4.76430986805426e+003	(-1.57488683106345e+001dB,-3.65417656810164e+001°)
4.78630092322648e+003	(-1.56832145655615e+001dB,-3.64137404666900e+001°)
4.80839348449739e+003	(-1.56174761744687e+001dB,-3.62858744107292e+001°)
4.83058802039783e+003	(-1.55516533605743e+001dB,-3.61581697207072e+001°)
4.85288500162131e+003	(-1.54857463497792e+001dB,-3.60306285880164e+001°)
4.87528490103397e+003	(-1.54197553706330e+001dB,-3.59032531877102e+001°)
4.89778819368457e+003	(-1.53536806543005e+001dB,-3.57760456783450e+001°)
4.92039535681462e+003	(-1.52875224345281e+001dB,-3.56490082018297e+001°)
