Freq.	V(vin)/I(V3)
4.07380277804111e+002	(9.27516312362588e+001dB,-8.95643492170607e+001°)
4.16869383470333e+002	(9.25516349496702e+001dB,-8.95542015948722e+001°)
4.26579518801591e+002	(9.23516388380940e+001dB,-8.95438176033472e+001°)
4.36515832240164e+002	(9.21516429097788e+001dB,-8.95331917366804e+001°)
4.46683592150961e+002	(9.19516471733618e+001dB,-8.95223183608082e+001°)
4.57088189614873e+002	(9.17516516378876e+001dB,-8.95111917104320e+001°)
4.67735141287196e+002	(9.15516563128268e+001dB,-8.94998058859577e+001°)
4.78630092322636e+002	(9.13516612080967e+001dB,-8.94881548503623e+001°)
4.89778819368444e+002	(9.11516663340817e+001dB,-8.94762324260004e+001°)
5.01187233627270e+002	(9.09516717016560e+001dB,-8.94640322913245e+001°)
5.12861383991362e+002	(9.07516773222061e+001dB,-8.94515479775317e+001°)
5.24807460249770e+002	(9.05516832076554e+001dB,-8.94387728651345e+001°)
5.37031796370250e+002	(9.03516893704893e+001dB,-8.94257001804515e+001°)
5.49540873857622e+002	(9.01516958237817e+001dB,-8.94123229920101e+001°)
5.62341325190346e+002	(8.99517025812226e+001dB,-8.93986342068796e+001°)
5.75439937337154e+002	(8.97517096571477e+001dB,-8.93846265668999e+001°)
5.88843655355586e+002	(8.95517170665679e+001dB,-8.93702926448409e+001°)
6.02559586074355e+002	(8.93517248252022e+001dB,-8.93556248404551e+001°)
6.16595001861479e+002	(8.91517329495104e+001dB,-8.93406153764554e+001°)
6.30957344480190e+002	(8.89517414567280e+001dB,-8.93252562943812e+001°)
6.45654229034652e+002	(8.87517503649033e+001dB,-8.93095394503881e+001°)
6.60693448007592e+002	(8.85517596929352e+001dB,-8.92934565109178e+001°)
6.76082975391978e+002	(8.83517694606135e+001dB,-8.92769989482896e+001°)
6.91830970918933e+002	(8.81517796886611e+001dB,-8.92601580361647e+001°)
7.07945784384134e+002	(8.79517903987776e+001dB,-8.92429248449288e+001°)
7.24435960074986e+002	(8.77518016136858e+001dB,-8.92252902369514e+001°)
7.41310241300914e+002	(8.75518133571794e+001dB,-8.92072448617371e+001°)
7.58577575029180e+002	(8.73518256541741e+001dB,-8.91887791509730e+001°)
7.76247116628688e+002	(8.71518385307602e+001dB,-8.91698833134445e+001°)
