time	V(vo_op)
3.784037666855901e-003	7.532886e-001
3.786900601557109e-003	7.861583e-001
3.791151807028365e-003	8.192958e-001
3.791152961309053e-003	8.193046e-001
3.791194845208288e-003	8.195475e-001
3.791236729107523e-003	8.197886e-001
3.791278613006758e-003	8.200279e-001
3.791320496905994e-003	8.202655e-001
3.791362380805229e-003	8.205012e-001
3.791404264704464e-003	8.207351e-001
3.791446148603699e-003	8.209672e-001
3.792332636171764e-003	8.256986e-001
3.793514619595851e-003	8.324754e-001
3.794340642894845e-003	8.389426e-001
3.795390241634996e-003	8.496442e-001
3.796409887961544e-003	8.614510e-001
3.797454728189456e-003	8.749238e-001
3.799544408645280e-003	9.043811e-001
3.800557427302088e-003	9.197628e-001
3.801671030632141e-003	9.378345e-001
3.803303598221177e-003	9.656371e-001
3.804975378264663e-003	9.955290e-001
3.807051799446465e-003	1.034354e+000
3.808865623879185e-003	1.069554e+000
3.813617434735576e-003	1.167166e+000
3.819215727435896e-003	1.289544e+000
3.828981352435896e-003	1.514017e+000
3.838746977435895e-003	1.749805e+000
3.848512602435895e-003	1.996431e+000
3.858278227435895e-003	2.252527e+000
3.868043852435895e-003	2.516986e+000
3.877809477435895e-003	2.788743e+000
3.887575102435894e-003	3.066770e+000
3.897340727435894e-003	3.350044e+000
3.907106352435894e-003	3.637547e+000
3.916871977435894e-003	3.928257e+000
3.926637602435894e-003	4.221090e+000
3.936403227435894e-003	4.514853e+000
3.946168852435894e-003	4.808327e+000
3.955934477435893e-003	5.100365e+000
3.965700102435893e-003	5.389868e+000
3.975465727435893e-003	5.675853e+000
3.983546090272135e-003	5.908648e+000
3.992001960527709e-003	6.147902e+000
3.998894241107132e-003	6.339429e+000
4.006497290033029e-003	6.546338e+000
4.016262915033029e-003	6.805437e+000
4.026028540033029e-003	7.056354e+000
4.035794165033029e-003	7.297679e+000
4.045559790033028e-003	7.528476e+000
4.055325415033028e-003	7.747787e+000
4.065091040033028e-003	7.954713e+000
4.074856665033028e-003	8.141616e+000
4.077986092402274e-003	8.183146e+000
4.080748097205622e-003	8.203070e+000
4.082352249251623e-003	8.210925e+000
4.084349674730542e-003	8.218577e+000
4.086164435433665e-003	8.224455e+000
4.088442626829564e-003	8.230844e+000
4.090867553451916e-003	8.236864e+000
4.093773064303602e-003	8.243245e+000
4.097511982334197e-003	8.250447e+000
4.102028505887357e-003	8.257872e+000
4.108738890632967e-003	8.266855e+000
4.117528885434390e-003	8.276056e+000
