Freq.	V(n002)
1.04015964386609e+002	(-1.17155230543849e+002dB,1.79580086507339e+002°)
1.04039917705134e+002	(-1.17151230544196e+002dB,1.79579989808334e+002°)
1.04063876539749e+002	(-1.17147230544543e+002dB,1.79579893087061e+002°)
1.04087840891725e+002	(-1.17143230544890e+002dB,1.79579796343515e+002°)
1.04111810762332e+002	(-1.17139230545238e+002dB,1.79579699577691e+002°)
1.04135786152842e+002	(-1.17135230545585e+002dB,1.79579602789584e+002°)
1.04159767064525e+002	(-1.17131230545933e+002dB,1.79579505979189e+002°)
1.04183753498652e+002	(-1.17127230546281e+002dB,1.79579409146500e+002°)
1.04207745456496e+002	(-1.17123230546629e+002dB,1.79579312291512e+002°)
1.04231742939329e+002	(-1.17119230546978e+002dB,1.79579215414221e+002°)
1.04255745948422e+002	(-1.17115230547326e+002dB,1.79579118514622e+002°)
1.04279754485049e+002	(-1.17111230547675e+002dB,1.79579021592708e+002°)
1.04303768550482e+002	(-1.17107230548024e+002dB,1.79578924648475e+002°)
1.04327788145995e+002	(-1.17103230548373e+002dB,1.79578827681917e+002°)
1.04351813272861e+002	(-1.17099230548722e+002dB,1.79578730693031e+002°)
1.04375843932353e+002	(-1.17095230549071e+002dB,1.79578633681809e+002°)
1.04399880125747e+002	(-1.17091230549420e+002dB,1.79578536648249e+002°)
1.04423921854316e+002	(-1.17087230549770e+002dB,1.79578439592343e+002°)
1.04447969119335e+002	(-1.17083230550120e+002dB,1.79578342514087e+002°)
1.04472021922078e+002	(-1.17079230550470e+002dB,1.79578245413476e+002°)
1.04496080263822e+002	(-1.17075230550820e+002dB,1.79578148290505e+002°)
1.04520144145842e+002	(-1.17071230551170e+002dB,1.79578051145169e+002°)
1.04544213569413e+002	(-1.17067230551520e+002dB,1.79577953977462e+002°)
1.04568288535812e+002	(-1.17063230551871e+002dB,1.79577856787379e+002°)
1.04592369046315e+002	(-1.17059230552222e+002dB,1.79577759574915e+002°)
1.04616455102199e+002	(-1.17055230552573e+002dB,1.79577662340065e+002°)
1.04640546704741e+002	(-1.17051230552924e+002dB,1.79577565082825e+002°)
1.04664643855218e+002	(-1.17047230553275e+002dB,1.79577467803187e+002°)
1.04688746554908e+002	(-1.17043230553626e+002dB,1.79577370501149e+002°)
1.04712854805088e+002	(-1.17039230553978e+002dB,1.79577273176703e+002°)
1.04736968607038e+002	(-1.17035230554329e+002dB,1.79577175829846e+002°)
1.04761087962034e+002	(-1.17031230554681e+002dB,1.79577078460572e+002°)
1.04785212871357e+002	(-1.17027230555033e+002dB,1.79576981068876e+002°)
1.04809343336286e+002	(-1.17023230555385e+002dB,1.79576883654752e+002°)
1.04833479358098e+002	(-1.17019230555738e+002dB,1.79576786218196e+002°)
1.04857620938075e+002	(-1.17015230556090e+002dB,1.79576688759203e+002°)
1.04881768077497e+002	(-1.17011230556443e+002dB,1.79576591277766e+002°)
1.04905920777643e+002	(-1.17007230556796e+002dB,1.79576493773882e+002°)
1.04930079039794e+002	(-1.17003230557149e+002dB,1.79576396247544e+002°)
1.04954242865230e+002	(-1.16999230557502e+002dB,1.79576298698748e+002°)
1.04978412255234e+002	(-1.16995230557855e+002dB,1.79576201127489e+002°)
1.05002587211087e+002	(-1.16991230558208e+002dB,1.79576103533761e+002°)
1.05026767734069e+002	(-1.16987230558562e+002dB,1.79576005917559e+002°)
1.05050953825464e+002	(-1.16983230558916e+002dB,1.79575908278879e+002°)
1.05075145486553e+002	(-1.16979230559270e+002dB,1.79575810617714e+002°)
1.05099342718620e+002	(-1.16975230559624e+002dB,1.79575712934059e+002°)
1.05123545522946e+002	(-1.16971230559978e+002dB,1.79575615227910e+002°)
1.05147753900816e+002	(-1.16967230560333e+002dB,1.79575517499262e+002°)
1.05171967853513e+002	(-1.16963230560687e+002dB,1.79575419748109e+002°)
1.05196187382320e+002	(-1.16959230561042e+002dB,1.79575321974445e+002°)
1.05220412488522e+002	(-1.16955230561397e+002dB,1.79575224178266e+002°)
1.05244643173403e+002	(-1.16951230561752e+002dB,1.79575126359567e+002°)
1.05268879438248e+002	(-1.16947230562107e+002dB,1.79575028518342e+002°)
1.05293121284342e+002	(-1.16943230562463e+002dB,1.79574930654587e+002°)
1.05317368712970e+002	(-1.16939230562818e+002dB,1.79574832768295e+002°)
1.05341621725417e+002	(-1.16935230563174e+002dB,1.79574734859463e+002°)
1.05365880322970e+002	(-1.16931230563530e+002dB,1.79574636928083e+002°)
1.05390144506914e+002	(-1.16927230563886e+002dB,1.79574538974153e+002°)
1.05414414278537e+002	(-1.16923230564242e+002dB,1.79574440997665e+002°)
1.05438689639124e+002	(-1.16919230564598e+002dB,1.79574342998616e+002°)
1.05462970589963e+002	(-1.16915230564955e+002dB,1.79574244976999e+002°)
1.05487257132342e+002	(-1.16911230565312e+002dB,1.79574146932810e+002°)
1.05511549267547e+002	(-1.16907230565669e+002dB,1.79574048866044e+002°)
1.05535846996867e+002	(-1.16903230566026e+002dB,1.79573950776695e+002°)
1.05560150321591e+002	(-1.16899230566383e+002dB,1.79573852664757e+002°)
1.05584459243006e+002	(-1.16895230566740e+002dB,1.79573754530227e+002°)
1.05608773762401e+002	(-1.16891230567098e+002dB,1.79573656373099e+002°)
1.05633093881067e+002	(-1.16887230567455e+002dB,1.79573558193366e+002°)
1.05657419600291e+002	(-1.16883230567813e+002dB,1.79573459991025e+002°)
1.05681750921364e+002	(-1.16879230568171e+002dB,1.79573361766070e+002°)
1.05706087845575e+002	(-1.16875230568529e+002dB,1.79573263518496e+002°)
1.05730430374216e+002	(-1.16871230568888e+002dB,1.79573165248298e+002°)
1.05754778508577e+002	(-1.16867230569246e+002dB,1.79573066955470e+002°)
1.05779132249948e+002	(-1.16863230569605e+002dB,1.79572968640007e+002°)
1.05803491599621e+002	(-1.16859230569964e+002dB,1.79572870301904e+002°)
1.05827856558887e+002	(-1.16855230570323e+002dB,1.79572771941156e+002°)
1.05852227129039e+002	(-1.16851230570682e+002dB,1.79572673557758e+002°)
