Freq.	V(outint)/V(Vin)
1.69824365246173e+003	(-1.06828993579676e+001dB,9.50928374852613e+001°)
1.73780082874936e+003	(-1.08812662521255e+001dB,9.49704990903277e+001°)
1.77827941003891e+003	(-1.10797061898525e+001dB,9.48507384154998e+001°)
1.81970085860997e+003	(-1.12782159403058e+001dB,9.47334957803746e+001°)
1.86208713666286e+003	(-1.14767924139927e+001dB,9.46187125872000e+001°)
1.90546071796323e+003	(-1.16754326527996e+001dB,9.45063313053592e+001°)
1.94984459975803e+003	(-1.18741338337571e+001dB,9.43962954623036e+001°)
1.99526231496887e+003	(-1.20728932543272e+001dB,9.42885496224361e+001°)
2.04173794466952e+003	(-1.22717083327754e+001dB,9.41830393728495e+001°)
2.08929613085403e+003	(-1.24705765989837e+001dB,9.40797113046137e+001°)
2.13796208950222e+003	(-1.26694956952685e+001dB,9.39785130036094e+001°)
2.18776162394954e+003	(-1.28684633642885e+001dB,9.38793930240467e+001°)
2.23872113856832e+003	(-1.30674774513281e+001dB,9.37823008778665e+001°)
2.29086765276776e+003	(-1.32665358952577e+001dB,9.36871870147799e+001°)
2.34422881531991e+003	(-1.34656367280668e+001dB,9.35940028063629e+001°)
2.39883291901947e+003	(-1.36647780676478e+001dB,9.35027005286492e+001°)
2.45470891568501e+003	(-1.38639581169285e+001dB,9.34132333432807e+001°)
2.51188643150956e+003	(-1.40631751575145e+001dB,9.33255552814344e+001°)
2.57039578276885e+003	(-1.42624275482621e+001dB,9.32396212248982e+001°)
2.63026799189536e+003	(-1.44617137212314e+001dB,9.31553868903958e+001°)
2.69153480392690e+003	(-1.46610321790872e+001dB,9.30728088102569e+001°)
2.75422870333815e+003	(-1.48603814913157e+001dB,9.29918443175999e+001°)
2.81838293126443e+003	(-1.50597602902215e+001dB,9.29124515242891e+001°)
2.88403150312659e+003	(-1.52591672714369e+001dB,9.28345893088148e+001°)
2.95120922666636e+003	(-1.54586011882160e+001dB,9.27582172953411e+001°)
3.01995172040199e+003	(-1.56580608497677e+001dB,9.26832958393887e+001°)
3.09029543251357e+003	(-1.58575451192741e+001dB,9.26097860068657e+001°)
3.16227766016836e+003	(-1.60570529121324e+001dB,9.25376495629344e+001°)
3.23593656929626e+003	(-1.62565831918691e+001dB,9.24668489492411e+001°)
3.31131121482589e+003	(-1.64561349695825e+001dB,9.23973472709909e+001°)
3.38844156139200e+003	(-1.66557072997914e+001dB,9.23291082792311e+001°)
3.46736850452529e+003	(-1.68552992826804e+001dB,9.22620963545623e+001°)
3.54813389233573e+003	(-1.70549100570624e+001dB,9.21962764912004e+001°)
3.63078054770099e+003	(-1.72545388037499e+001dB,9.21316142802183e+001°)
3.71535229097170e+003	(-1.74541847390471e+001dB,9.20680758943981e+001°)
3.80189396320558e+003	(-1.76538471148487e+001dB,9.20056280718968e+001°)
3.89045144994278e+003	(-1.78535252208762e+001dB,9.19442381004666e+001°)
3.98107170553494e+003	(-1.80532183768444e+001dB,9.18838738033588e+001°)
4.07380277804110e+003	(-1.82529259341206e+001dB,9.18245035219483e+001°)
4.16869383470332e+003	(-1.84526472761129e+001dB,9.17660961020329e+001°)
4.26579518801589e+003	(-1.86523818150750e+001dB,9.17086208791437e+001°)
4.36515832240162e+003	(-1.88521289889259e+001dB,9.16520476618924e+001°)
4.46683592150960e+003	(-1.90518882643512e+001dB,9.15963467192435e+001°)
4.57088189614871e+003	(-1.92516591321261e+001dB,9.15414887650417e+001°)
4.67735141287194e+003	(-1.94514411090557e+001dB,9.14874449441526e+001°)
4.78630092322634e+003	(-1.96512337337726e+001dB,9.14341868173229e+001°)
