Freq.	V(out)
1.31219989901920e+000	(-2.62185757651987e-006dB,-4.44048428591605e-002°)
1.31522483219223e+000	(-2.63395952151345e-006dB,-4.45072065857883e-002°)
1.31825673855640e+000	(-2.64611732617374e-006dB,-4.46098062851211e-002°)
1.32129563418657e+000	(-2.65833124894081e-006dB,-4.47126425011320e-002°)
1.32434153519466e+000	(-2.67060154921907e-006dB,-4.48157157790479e-002°)
1.32739445772973e+000	(-2.68292848641292e-006dB,-4.49190266653523e-002°)
1.33045441797808e+000	(-2.69531232089110e-006dB,-4.50225757077889e-002°)
1.33352143216332e+000	(-2.70775331880832e-006dB,-4.51263634553638e-002°)
1.33659551654643e+000	(-2.72025174149765e-006dB,-4.52303904583488e-002°)
1.33967668742593e+000	(-2.73280785318515e-006dB,-4.53346572682842e-002°)
1.34276496113786e+000	(-2.74542192098986e-006dB,-4.54391644379818e-002°)
1.34586035405594e+000	(-2.75809421395947e-006dB,-4.55439125215275e-002°)
1.34896288259164e+000	(-2.77082499824872e-006dB,-4.56489020742848e-002°)
1.35207256319427e+000	(-2.78361454579829e-006dB,-4.57541336528972e-002°)
1.35518941235103e+000	(-2.79646312758454e-006dB,-4.58596078152916e-002°)
1.35831344658715e+000	(-2.80937101458385e-006dB,-4.59653251206809e-002°)
1.36144468246594e+000	(-2.82233848162989e-006dB,-4.60712861295672e-002°)
1.36458313658892e+000	(-2.83536580548500e-006dB,-4.61774914037446e-002°)
1.36772882559584e+000	(-2.84845325905423e-006dB,-4.62839415063024e-002°)
1.37088176616484e+000	(-2.86160112295721e-006dB,-4.63906370016279e-002°)
1.37404197501251e+000	(-2.87480967395631e-006dB,-4.64975784554093e-002°)
1.37720946889394e+000	(-2.88807919170686e-006dB,-4.66047664346391e-002°)
1.38038426460288e+000	(-2.90140996068583e-006dB,-4.67122015076166e-002°)
1.38356637897177e+000	(-2.91480226151290e-006dB,-4.68198842439513e-002°)
1.38675582887188e+000	(-2.92825637770072e-006dB,-4.69278152145658e-002°)
1.38995263121334e+000	(-2.94177259469060e-006dB,-4.70359949916988e-002°)
1.39315680294529e+000	(-2.95535120178117e-006dB,-4.71444241489081e-002°)
1.39636836105593e+000	(-2.96899248248509e-006dB,-4.72531032610735e-002°)
1.39958732257261e+000	(-2.98269672899400e-006dB,-4.73620329044005e-002°)
1.40281370456195e+000	(-2.99646423253517e-006dB,-4.74712136564225e-002°)
1.40604752412990e+000	(-3.01029528240724e-006dB,-4.75806460960044e-002°)
1.40928879842186e+000	(-3.02419017562350e-006dB,-4.76903308033453e-002°)
1.41253754462274e+000	(-3.03814920244690e-006dB,-4.78002683599823e-002°)
1.41579377995707e+000	(-3.05217266374804e-006dB,-4.79104593487924e-002°)
1.41905752168908e+000	(-3.06626085268288e-006dB,-4.80209043539969e-002°)
1.42232878712281e+000	(-3.08041407012201e-006dB,-4.81316039611635e-002°)
1.42560759360218e+000	(-3.09463261790036e-006dB,-4.82425587572098e-002°)
1.42889395851109e+000	(-3.10891679206688e-006dB,-4.83537693304065e-002°)
1.43218789927353e+000	(-3.12326690024247e-006dB,-4.84652362703803e-002°)
1.43548943335364e+000	(-3.13768324522639e-006dB,-4.85769601681172e-002°)
1.43879857825583e+000	(-3.15216613367521e-006dB,-4.86889416159655e-002°)
1.44211535152486e+000	(-3.16671587224553e-006dB,-4.88011812076390e-002°)
1.44543977074592e+000	(-3.18133276855823e-006dB,-4.89136795382202e-002°)
1.44877185354475e+000	(-3.19601713505588e-006dB,-4.90264372041634e-002°)
1.45211161758773e+000	(-3.21076927935940e-006dB,-4.91394548032979e-002°)
1.45545908058195e+000	(-3.22558951680433e-006dB,-4.92527329348309e-002°)
1.45881426027534e+000	(-3.24047816369055e-006dB,-4.93662721993513e-002°)
1.46217717445671e+000	(-3.25543553053196e-006dB,-4.94800731988321e-002°)
1.46554784095590e+000	(-3.27046193941443e-006dB,-4.95941365366343e-002°)
1.46892627764385e+000	(-3.28555770567350e-006dB,-4.97084628175096e-002°)
1.47231250243271e+000	(-3.30072315332369e-006dB,-4.98230526476038e-002°)
1.47570653327588e+000	(-3.31595859866489e-006dB,-4.99379066344602e-002°)
1.47910838816819e+000	(-3.33126436764029e-006dB,-5.00530253870224e-002°)
1.48251808514594e+000	(-3.34664078619306e-006dB,-5.01684095156379e-002°)
1.48593564228699e+000	(-3.36208817833774e-006dB,-5.02840596320611e-002°)
1.48936107771090e+000	(-3.37760687483915e-006dB,-5.03999763494567e-002°)
1.49279440957898e+000	(-3.39319719874749e-006dB,-5.05161602824028e-002°)
1.49623565609442e+000	(-3.40885948661359e-006dB,-5.06326120468943e-002°)
1.49968483550236e+000	(-3.42459406920227e-006dB,-5.07493322603462e-002°)
1.50314196609001e+000	(-3.44040127534972e-006dB,-5.08663215415967e-002°)
1.50660706618673e+000	(-3.45628144642840e-006dB,-5.09835805109106e-002°)
1.51008015416413e+000	(-3.47223491706048e-006dB,-5.11011097899823e-002°)
1.51356124843619e+000	(-3.48826202668976e-006dB,-5.12189100019398e-002°)
1.51705036745932e+000	(-3.50436311476006e-006dB,-5.13369817713472e-002°)
1.52054752973248e+000	(-3.52053851975086e-006dB,-5.14553257242086e-002°)
1.52405275379728e+000	(-3.53678858689196e-006dB,-5.15739424879709e-002°)
1.52756605823806e+000	(-3.55311366237748e-006dB,-5.16928326915278e-002°)
1.53108746168202e+000	(-3.56951409143720e-006dB,-5.18119969652224e-002°)
1.53461698279928e+000	(-3.58599021930095e-006dB,-5.19314359408511e-002°)
1.53815464030302e+000	(-3.60254239891314e-006dB,-5.20511502516665e-002°)
1.54170045294954e+000	(-3.61917097839657e-006dB,-5.21711405323812e-002°)
1.54525443953840e+000	(-3.63587631358866e-006dB,-5.22914074191711e-002°)
1.54881661891247e+000	(-3.65265875550521e-006dB,-5.24119515496782e-002°)
1.55238700995807e+000	(-3.66951866480528e-006dB,-5.25327735630148e-002°)
1.55596563160506e+000	(-3.68645639443332e-006dB,-5.26538740997662e-002°)
1.55955250282694e+000	(-3.70347230311978e-006dB,-5.27752538019947e-002°)
1.56314764264094e+000	(-3.72056675538103e-006dB,-5.28969133132426e-002°)
1.56675107010813e+000	(-3.73774011380483e-006dB,-5.30188532785355e-002°)
1.57036280433354e+000	(-3.75499273808595e-006dB,-5.31410743443861e-002°)
1.57398286446620e+000	(-3.77232499659811e-006dB,-5.32635771587976e-002°)
1.57761126969933e+000	(-3.78973725964369e-006dB,-5.33863623712668e-002°)
1.58124803927037e+000	(-3.80722989173913e-006dB,-5.35094306327878e-002°)
1.58489319246110e+000	(-3.82480326800846e-006dB,-5.36327825958553e-002°)
1.58854674859776e+000	(-3.84245775682541e-006dB,-5.37564189144684e-002°)
1.59220872705115e+000	(-3.86019373910001e-006dB,-5.38803402441336e-002°)
1.59587914723672e+000	(-3.87801158417033e-006dB,-5.40045472418685e-002°)
1.59955802861465e+000	(-3.89591167198208e-006dB,-5.41290405662054e-002°)
1.60324539069002e+000	(-3.91389438440962e-006dB,-5.42538208771945e-002°)
1.60694125301286e+000	(-3.93196009946998e-006dB,-5.43788888364078e-002°)
1.61064563517825e+000	(-3.95010920482351e-006dB,-5.45042451069422e-002°)
1.61435855682647e+000	(-3.96834208138026e-006dB,-5.46298903534232e-002°)
1.61808003764305e+000	(-3.98665911583624e-006dB,-5.47558252420084e-002°)
1.62181009735891e+000	(-4.00506069970911e-006dB,-5.48820504403913e-002°)
1.62554875575047e+000	(-4.02354722065925e-006dB,-5.50085666178042e-002°)
1.62929603263970e+000	(-4.04211907116864e-006dB,-5.51353744450224e-002°)
1.63305194789432e+000	(-4.06077664564796e-006dB,-5.52624745943674e-002°)
1.63681652142779e+000	(-4.07952034043653e-006dB,-5.53898677397105e-002°)
1.64058977319952e+000	(-4.09835055090936e-006dB,-5.55175545564767e-002°)
1.64437172321491e+000	(-4.11726767919176e-006dB,-5.56455357216476e-002°)
1.64816239152549e+000	(-4.13627212355172e-006dB,-5.57738119137656e-002°)
1.65196179822900e+000	(-4.15536428900755e-006dB,-5.59023838129375e-002°)
1.65576996346951e+000	(-4.17454457961323e-006dB,-5.60312521008375e-002°)
1.65958690743754e+000	(-4.19381340328006e-006dB,-5.61604174607116e-002°)
1.66341265037015e+000	(-4.21317116791935e-006dB,-5.62898805773805e-002°)
1.66724721255104e+000	(-4.23261828144240e-006dB,-5.64196421372438e-002°)
1.67109061431069e+000	(-4.25215516140382e-006dB,-5.65497028282834e-002°)
1.67494287602642e+000	(-4.27178222053656e-006dB,-5.66800633400671e-002°)
1.67880401812254e+000	(-4.29149987157361e-006dB,-5.68107243637521e-002°)
